rank	username	minecraft:mined/minecraft:grass_path
1	TheShyPig	2735
2	HellsSponge	1290
3	burbankbuilder28	1091
4	Mewar	866
5	Inbefour	799
6	m_be9	798
7	emrekn	605
8	PortlyPete69	459
9	Louiis123	437
10	Luigipunch989	412
11	cedric72	395
12	Ssor69	337
13	bigstankyy	316
14	FishyBoy3811	315
15	Sky_light_KING	309
16	youhjjhhhjj	304
17	Onennon	301
18	toj__	285
19	LordSpeed37	263
20	thescout7	242
21	Typadopoulos	235
22	AssEatrAndLicker	226
23	Nicserso	188
24	DanTheBuilderino	177
25	Natty	174
25	The_slideV3	174
27	MonitorLizards	171
28	MyNameIsJobo	158
29	Rumpletaezer	152
30	MrButterscotch	148
31	stahouo	147
32	Kiki_Majiki	144
33	wobn	136
34	PhantomsGhost_	132
35	TheTrueClipse	124
36	fkGrim	118
37	awesomeweasel	112
38	dobbloshooter12	111
38	DrGrant	111
40	Soul_Atreus	109
41	Zythose	106
41	07shiny	106
43	Bumpy419	102
44	Ravenbie	101
45	stellarjay	100
46	Frxnkz	99
47	SaucyDark	98
47	surfinggiraffejp	98
49	JESS_THE_RERE	90
49	Sral7	90
51	Bandito_Roamer	82
51	Toiton	82
53	epiksk8erduck	80
54	loveseeker	78
55	picardred	77
56	Hoid_the_Roamer	76
57	Zoeyfortnite	75
58	Harotio	73
58	dendydoom	73
60	diggydog67	71
61	k1ngGilgamesh	70
62	RobotMinion101	69
62	RedcatVII	69
64	301851	67
65	jaimshae	62
65	xorompole	62
67	ExtraDumb	61
68	ChillenChiggen	60
69	M_Patata	58
69	MasterNueve	58
71	Cortexia	57
71	Karetoko	57
71	JollyDroopy52	57
74	_TCARREIRA_	53
75	HollieDaNugget	51
76	potato292	50
77	__Fanda__	49
77	Syropatathe	49
79	chipklip	46
79	radioactv_jelly	46
79	anbbang	46
82	Cattoh	45
83	mawileite	44
83	TechnoNinja64	44
85	ewsophie	43
86	CarltheCuck	42
86	jewbacaman	42
86	NotMeowMix	42
89	The11thDoctor	41
89	xo_Marren_xo	41
91	zorin123	39
92	KermitTheKripple	38
93	Prodiginus	37
93	jacxhadow	37
93	Fildyr	37
93	MovingFish7	37
97	Snowflowe	36
97	Kim_Jong_eel	36
99	Shavrin	34
100	_Cloverbelle_	30
101	Cidah	29
101	valkam13	29
101	sufjanlover	29
104	KingMatthew506	28
105	Hpdinosaur	27
105	whoaluv	27
105	WarMachina	27
108	HypixelForums	26
108	Zaridey	26
108	DemTechAlpha	26
111	Dedalus36	25
112	Cowison	24
112	Xclax101	24
112	Vellu21	24
115	Cartoonmaniac	23
115	dopplexd	23
115	platinumzero	23
115	Cyntrical	23
119	Euclidoris	22
119	Russiancat1	22
119	MightyWertu	22
119	Hisiste	22
