rank	username	minecraft:mined/minecraft:deepslate
1	Miko_Fullbuster	83875
2	gcaisawesome	82665
3	thewindmillman	49055
4	pintsizedrogue	41379
5	MinttyFressh	35385
6	beeperbeeper5	28453
7	500am	25896
8	xPixelRainx	16642
9	PlasticOtari	16574
10	Smoke____	15815
11	Marbz_	15098
12	RebelAndroid	13426
13	Hyp3rion_	13354
14	AltnumberF4	11559
15	Winklepicker279	10388
16	Enderslayerxz3	10316
17	rarrq	10193
18	YungMaki	9888
19	MAns_44	8813
20	Megarboh	8189
21	PigDab	7748
22	SingedBread	7356
23	Lutres_Torane	6600
24	Rebytre	5923
25	Mahoose	5880
26	pixelviolin	5733
27	12Magner05	5646
28	MilleGrug	5392
29	SvenskaHugo	5332
30	sebastiensaborio	5252
31	Ezekson	4844
32	Weepingbiel	4782
33	ATurtle4936	4506
34	ImpavidArcher	4334
35	hm947	4321
36	TheSecondLord	4299
37	TheDankPlatypus	4093
38	Inchef	3939
39	TheALV	3901
40	kyouma777	3824
41	mobunni	3484
42	CoffeeNoir	3286
43	crying_wolf_13	3189
44	Legendosh	3098
45	EMC_	3089
46	MSK__	3005
47	nut_e	2766
48	EtherealSilveon	2702
49	EcksD	2690
50	Steven1282598	2685
51	Hermanni__	2660
52	EveryonesUncle	2656
53	00000000-0000-0000-0009-01f898304150	2485
54	ItsDeltaMC	2294
55	Spacewardharpy7	2266
56	Flores991	2184
57	The_Fulgurator	2180
58	Kakolbus	2158
59	lordpipe	2118
60	SquadMonster	2042
61	Kubelz	2022
62	TAKrules	1989
63	ApophisNova	1967
63	MyNamaSheff	1967
65	TJawesome09	1805
66	Soplight	1800
67	Toriankel	1747
68	BronkerBrum	1709
69	Aryamanee	1661
70	_Karmaa	1639
71	Freak_Genius	1627
72	Deathkob	1619
73	RoskobiOne	1615
74	PhantomBionic	1518
75	_stets	1473
76	Begformurrcy	1372
77	SuperPooch06	1371
78	titanlax	1306
79	Drlzyy	1280
80	IdeallyGrey	1275
80	Kowcio_	1275
82	breadbowlgamer	1230
83	benediktine1	1193
84	Chickenchaser2	1171
85	Hail_the_wombat	1126
86	noam464	1082
87	MyNameIsDakar	1040
88	nataliecool	1039
89	Khelvoryk	1032
90	Sheldor097	1008
91	Hylo482y	945
92	diamondgolem35	942
93	Vegvisir	908
94	_NieToksikpl_	895
95	joethahobo	891
96	Yahir091	882
97	KeruNatsema	804
98	Jiminie	799
99	TheOuterCore	797
100	lizardfightclub	736
101	verynothing	730
102	WYFYoyo	714
103	GlitchyPlate810	678
104	Lord_Zacler	668
105	LitoDelvito	657
106	Jackattack53	650
107	ShedJr_	625
108	Valoth	607
109	egglapras	594
110	CyrusIsTired	568
111	alderban107	559
112	Ze_BaronKrigler	517
113	Enigma0251	483
114	Merv__	464
115	jcool7	462
116	2blox	440
117	_Boipl_	417
118	TheEnderman548	408
119	HolyVenom	387
120	MineMaster0012	386
121	Dan_Scha	382
122	T045RTY	376
123	DarkS0L	375
124	sp00ky_ghost977	365
125	strongman951753	362
126	Jonte0599	349
127	Toasty_Tom	345
128	Myszoaz	342
129	Spenduh	332
130	Lord_Jord	330
131	underscore_2	323
132	DolphinLaugh	322
133	FlirtingWithBoys	310
134	hcb238	307
135	Xi_J1nping	301
136	Nycteus_	275
137	SpaggeDR	268
138	SpicyDuckMan	256
139	yulgur1	251
140	RadarHz	247
141	CalebDHawk	240
142	NomadicRobin_	238
143	fffMike	236
144	kekhon	231
145	Racengan	204
146	starbits140	202
147	eitanzaki	193
148	cwartzo	180
149	ChampPog_	174
150	Joestra	155
151	Lumien_	151
152	dimitri0s	140
153	Blackberry1310	134
154	Gryglu583	133
155	SvenskaAlvar	132
156	ROY4LE	131
157	Skippeh	130
158	Rocco_Lane	127
159	Xalithia	125
160	_Dri_	124
161	CollinMH06	111
162	OtariCharlie	107
163	Base_Tempest	94
164	4383	86
165	orxngejuice	80
166	Bonzaidalek	72
167	lillips	71
168	q_wq	68
168	Eczbek	68
170	Frozil12	63
171	wilgot_	61
172	rachcl	54
173	_Razar	51
174	Rexorout	47
175	Akoot_	45
176	wwwwinnebagoooo	37
177	smogfrog	35
178	Ithaca_GC	33
179	fluddd	19
180	Historical_Sand	18
181	EtherealEspresso	15
182	Skylord_Luke	14
183	TheThomas69	13
184	Quotary	10
185	djancak	9
186	KG1999	7
187	The_lost_his_tea	5
187	Awyrlas	5
187	regulator75	5
190	neurotic_a	4
191	Kamflame10	3
191	KaptainKornhole	3
191	liquidcheezcake	3
194	Axel_Foley	2
194	Keith_Stark	2
196	Klerick	1
196	Meatlaugh	1
196	Not_Insom	1
196	Kubeusz2010	1
