rank	username	minecraft:mined/minecraft:bubble_coral_block
1	Legendosh	1696
2	Enderxz3	1018
3	TheShyPig	477
4	YungMaki	466
5	ImpavidArcher	451
6	pintsizedrogue	361
7	_Dean_123	337
8	Hyp3rion_	315
9	H0UNDFRMH3LL	262
10	Kouridragon	242
11	HellsSponge	207
12	EcksD	200
13	thewindmillman	182
14	12Magner05	168
15	Di_infiri	160
16	AuroraValkyrie	154
17	Vetral1	137
18	RoskobiOne	135
19	Nicserso	134
20	ApophisNova	118
20	MyNamaSheff	118
22	500am	100
23	Mewar	95
24	Fullut	89
24	lordpipe	89
26	Xalithia	85
27	Maenara	74
28	Mahoose	73
29	Jovaphobic	71
29	Marbz_	71
29	Onennon	71
32	Merv__	67
32	livingdaydreams	67
34	Zoeyfortnite	65
35	djancak	61
36	burbankbuilder28	56
37	Lez_	50
37	Jackattack53	50
39	Deathkob	46
40	Iagoku	44
40	r123moore	44
40	TheSeismicDuck	44
43	Xclax101	41
44	eiC_	40
45	mihimihimihi	39
46	Kura2218	33
46	PlasticOtari	33
48	emrekn	32
48	diggydog67	32
50	urbeans	31
50	Rumpletaezer	31
50	Inbefour	31
53	__tomato	30
54	kekhon	29
54	surfinggiraffejp	29
56	luseis	28
57	PortlyPete69	27
57	SpacesickPrism	27
59	aec9	22
60	hollowww	21
60	BodaciousCake	21
60	Ssor69	21
60	Rebytre	21
64	6king6colt6	20
65	_Bguette_	19
65	YungWali	19
67	Groovy_MoonBird	18
67	Inchef	18
67	Karbl	18
67	Dusk_95	18
67	erkada	18
67	Smoke____	18
73	Bandito_Roamer	17
73	laron58	17
75	Fizznut909	16
76	RobotMinion101	15
77	CoffeeNoir	14
77	weabis	14
79	KingMatthew506	13
79	Powowowow	13
81	joethahobo	12
81	noam464	12
81	Arceus1975	12
81	NameGenerat0r	12
81	Kowcio_	12
86	dudcreeper	11
86	titanlax	11
86	F_Uhre	11
89	eitanzaki	10
89	Historical_Sand	10
89	Noah_Bez	10
89	FreakGenius	10
89	Typadopoulos	10
94	SaucyDark	9
94	monky_irl	9
96	groofles	8
96	1442	8
96	ZoharGoldMine	8
99	Irko	7
99	Bumpy419	7
99	KeruNatsema	7
99	Blaiku	7
99	WyngGoy	7
99	lcvezra	7
105	Prismyst	6
105	M_Patata	6
105	CollinMH06	6
105	Eerini	6
105	sufjanlover	6
105	claivin	6
105	El_Jalapeno	6
105	Factoroni	6
105	MasterNueve	6
105	IAmTheWalrus910	6
105	Skippeh	6
105	h2p_emrld	6
117	chipklip	5
117	KarlKaek	5
117	Kakolbus	5
117	ougstur	5
117	MustaLoordi	5
117	censorsheep	5
123	ratglock	4
123	thescout7	4
123	Hiryu27	4
123	Voxin2K	4
123	StinkyDiplomat	4
123	DarkLawD	4
123	Western_1	4
130	BilboBaggins23	3
130	crying_wolf_13	3
130	Nicky19	3
130	GlitchyPlate810	3
130	TechnoNinja64	3
135	hm947	2
135	fr0stss	2
135	oreee	2
135	Cryptacity	2
135	UncreativeArtist	2
135	Paintz	2
135	IamCL4SSY	2
135	binman420	2
135	fluddd	2
135	Hisiste	2
135	BlankityMcBlank	2
135	Steelynan	2
135	BreadBacon	2
135	jnp_gaming	2
149	Incinere	1
149	ShedJr_	1
149	stevewithclout	1
149	ProfessorBee	1
149	Secret_Canary	1
149	redikul	1
149	Doom_melon	1
149	SuperPooch06	1
149	Azmodan_246	1
149	Jaka_Saurus_715	1
149	Lekol	1
149	QueenShuvi	1
149	silverpopcorn	1
149	SSytex_X	1
149	gusstationwerker	1
149	MilleGrug	1
149	ZeroKraken	1
149	Wolverine4302	1
149	FishisTTV	1
