rank	username	minecraft:mined/minecraft:cherry_slab
1	Lez_	671
2	skitzxo	348
3	StarCookiees_	316
4	Reneedium	148
5	OreTheBear	92
6	_witch_craft_	72
7	11Brewer	47
8	royal_2	37
9	Apollo_993	36
10	Kowcio_	31
11	Archsam	26
12	Napoleonpancake	21
13	Enderxz3	17
14	Huwulling	10
14	XxCookiequeenxX	10
16	Mr_Byzantine	9
16	Moofyman	9
16	lordpipe	9
19	shineh10	6
20	Yamdalorian	5
21	PazinGaming	4
22	_Huge_Male_	3
22	RatatJuice	3
22	_Duckery	3
22	TheWickedBird	3
26	k_ce	2
26	PercivalCaduceus	2
26	Krowuss	2
26	AstreaTSS	2
26	pretty_pink_reno	2
26	Synthoum	2
26	KamFurnace	2
26	Jimb0nat0r	2
34	fragrantmonke444	1
34	oscminus	1
