rank	username	minecraft:mined/minecraft:diorite_stairs
1	Meatlaugh	315
2	rarrq	273
3	Mahoose	256
4	FreakGenius	232
5	TheShyPig	138
6	EMC_	117
7	Jokerman369	116
8	Stiar	103
9	Legendosh	43
10	MrExplorer	41
11	Kowcio_	38
12	KarlKaek	35
13	benediktine1	28
13	Sheldor097	28
15	Werbe	23
15	PlasticOtari	23
17	xolstoi	22
18	Huwulling	21
19	QuiCreans	20
20	DemTechAlpha	19
21	noam464	16
22	Frozil20	14
22	Xalithia	14
22	Maenara	14
25	Inbefour	13
26	eiC_	12
26	Spacewardharpy7	12
28	trexgb	11
29	Mr_Byzantine	10
29	orxngejuice	10
29	MyNameIsDakar	10
32	eviltunix	9
33	ImpavidArcher	8
34	SaintJosie	7
34	avalan64	7
36	bearlystraight	6
37	lotarp	5
37	JESS_THE_RERE	5
37	CattSoup	5
40	SaucyDark	4
40	Cryptacity	4
40	kekhon	4
40	GLLogan2	4
40	Studyhallsaver	4
40	tartanboy	4
46	H0UNDFRMH3LL	3
46	Paint	3
46	purpolepickle	3
46	Soplight	3
50	Natty	2
50	beeperbeeper5	2
50	Xclax101	2
50	stavgod	2
50	Eraxa	2
50	SvenskaHugo	2
50	RealGroot	2
50	starbits140	2
50	Snow_Blizzard	2
50	TechnoNinja64	2
50	bladeefan2009	2
61	maxdacatv2	1
61	Groovy_MoonBird	1
61	k_ce	1
61	joethahobo	1
61	IWorkAtIkea	1
61	Crowman1	1
61	Ardennes	1
61	eclipseboi	1
61	ImDisconnected_	1
61	Arceus1975	1
61	Lord_Jord	1
61	sleepdrifter_	1
61	YungMaki	1
61	Enderxz3	1
61	WYFYoyo	1
