rank	username	minecraft:mined/minecraft:honey_block
1	EcksD	4511
2	Sral7	2920
3	eitanzaki	1844
4	IamCL4SSY	1637
5	thewindmillman	1484
6	PhantomsGhost_	1108
7	noam464	751
8	thescout7	637
9	Lord_Jord	599
10	mihimihimihi	562
11	obzii	529
12	beeperbeeper5	479
13	Di_infiri	443
14	TechnoNinja64	365
15	Spacewardharpy7	316
16	RoofTyler	299
17	diamondgolem35	294
18	rarrq	291
18	Jackattack53	291
20	YungMaki	280
21	Smoke____	231
22	pintsizedrogue	204
23	Historical_Sand	189
24	Inchef	166
25	Fullut	161
26	lordpipe	150
27	Steelynan	141
28	Mahoose	135
29	Enderxz3	128
30	Ezekson	122
31	Jindong	115
32	PigDab	114
33	Lez_	108
34	Onennon	102
35	Blackberry1310	92
36	EMC_	90
36	luseis	90
38	500am	85
39	jnp_gaming	82
40	groofles	78
41	Soap_Bender	76
42	bladeefan2009	74
43	Dusk_95	72
44	PlasticOtari	68
45	Sheldor097	66
46	djancak	60
47	Eraza	58
48	TheSecondLord	56
48	Hyp3rion_	56
50	jacxhadow	50
51	fr0stss	49
52	Kowcio_	48
53	ogoa	41
53	lillips	41
55	gabriels543	40
56	Werbe	39
56	ZA07	39
56	sigmabich	39
59	Chromary	36
59	monky_irl	36
59	non089	36
59	Nicserso	36
63	Nycteus_	33
63	RealGroot	33
63	PortlyPete69	33
66	Swexti	32
66	FreakGenius	32
68	fluddd	31
69	HesDemonPants	30
69	Zoeyfortnite	30
71	T045RTY	28
72	ITDV	27
72	EngagedGrub41	27
74	Marbz_	26
75	mwrty	24
75	ROY4LE	24
77	Frozil20	22
77	ItsJunoIGuess	22
79	pixelviolin	18
80	Groovy_MoonBird	17
80	HellsSponge	17
80	xolstoi	17
83	ReSynced	16
83	Blaiku	16
85	Eczbek	15
86	MangoTheFish	14
86	Airem_Core	14
88	joethahobo	13
88	2bolx_	13
90	Alteriity	12
91	Smashic	11
91	Fuad_R	11
93	ShedJr_	10
94	sp00ky_ghost977	9
94	SvenskaHugo	9
94	xzvu	9
97	Blu3beast	8
98	ImpavidArcher	7
98	Xalithia	7
98	Rebytre	7
98	Hiimdeath	7
98	binman420	7
98	DarlaMeow	7
98	Lifedy	7
98	NameGenerat0r	7
98	Burge_r	7
107	Gundam_Steven	6
107	Hpdinosaur	6
107	Skylord_Luke	6
107	Elastiq	6
107	Akoot_	6
107	MightyWertu	6
107	Jimb0nat0r	6
107	h2p_emrld	6
115	Vizzoid	5
115	gcaisawesome	5
115	Kelloogs	5
115	HyperCave	5
115	Deathkob	5
115	Soplight	5
121	SmashingPump	4
121	nattybears	4
121	bloodbiter	4
121	WET_WET_WET	4
121	cedric72	4
121	SvenskaAlvar	4
121	jacobsoy	4
121	Kubeusz2010	4
121	ConnorDanky_	4
121	Legendosh	4
131	Ryker	3
131	MitexFTW	3
131	MyNameIsJobo	3
131	Eraxa	3
131	Mythic1130	3
131	LilcoinXX	3
137	_Virify_	2
137	Sleek_Storm_721	2
137	KarlKaek	2
137	tuckerdoodle	2
137	ShaunCraftYT	2
137	jushykins	2
137	12Magner05	2
137	kekhon	2
137	GLLogan2	2
137	himak1	2
137	pappaberg	2
137	KeruNatsema	2
137	Inbefour	2
137	censorsheep	2
137	Hisiste	2
137	Smiguli_	2
137	MakeHistory157	2
137	SexcMf	2
137	stavgod	2
137	Dreamdbr14	2
137	MilleGrug	2
137	FelixPSY375	2
137	Umbreon900	2
160	TheBiggestFeller	1
160	KingFaenor	1
160	bigstankyy	1
160	ColeSnyder	1
160	Upstro10	1
160	catandmoose	1
160	ketaminmann	1
160	Septemb3r	1
160	TheDankPlatypus	1
160	DanhLamb	1
160	corpsecity	1
160	happy_mileo	1
160	Charmyboi	1
160	Chrisdeadeye	1
160	dezxalo	1
160	fw3xywashere	1
160	BigShon	1
160	claivin	1
160	ReflexCode	1
160	Optiprimus	1
160	Quotary	1
160	diggydog67	1
