rank	username	minecraft:mined/minecraft:chipped_anvil
1	noam464	121
2	kekhon	96
3	Chromary	80
4	Hyp3rion_	70
5	pintsizedrogue	66
6	FreakGenius	63
7	YungMaki	40
8	lordpipe	36
9	Blackberry1310	31
10	CLG_Kata	23
11	eitanzaki	22
12	Eczbek	20
13	jnp_gaming	19
14	Kowcio_	18
15	HellsSponge	17
15	Groundler	17
15	xzvu	17
15	vandmanden	17
19	PlasticOtari	16
20	joethahobo	14
20	beeperbeeper5	14
20	mihimihimihi	14
23	Mahoose	13
23	surfinggiraffejp	13
23	Di_infiri	13
23	Racengan	13
23	_Mythic____	13
23	brofrickcheaters	13
29	RobotMinion101	12
29	Enderxz3	12
31	EMC_	11
31	mwrty	11
31	Awyrlas	11
31	Akoot_	11
31	luseis	11
31	Eraxa	11
31	PortlyPete69	11
31	fffMike	11
39	SmashingPump	10
39	rarrq	10
39	Fullut	10
39	ApophisNova	10
39	Quotary	10
39	MyNamaSheff	10
39	skrongus	10
46	12Magner05	9
46	thescout7	9
46	Inchef	9
46	Lutres_	9
50	Frozil20	8
50	Historical_Sand	8
50	Krowuss	8
50	Spacewardharpy7	8
50	TechnoNinja64	8
50	AdmiralSmoke	8
56	ECstardust	7
56	Euclidoris	7
56	TheSecondLord	7
56	Eczbox	7
56	Onennon	7
56	TheShyPig	7
56	NameGenerat0r	7
56	Blaiku	7
56	Cocoamallows	7
56	obzii	7
66	elicobnoah	6
66	Healthing	6
66	diamondgolem35	6
66	Saucepeh	6
66	lunathelemon	6
66	ROY4LE	6
66	Kakolbus	6
66	Snowflowe	6
66	sammidk	6
66	AuroraSkies	6
66	LeonelSalamanca	6
66	NomadicRobin_	6
66	lillips	6
66	Dakar_	6
66	Nycteus_	6
66	layabout100	6
66	SpacesickPrism	6
66	Skippeh	6
84	gren_ben	5
84	ZaneABrain	5
84	ShedJr_	5
84	Lez_	5
84	ThePoliteG	5
84	Kubelz	5
84	thewindmillman	5
84	pappaberg	5
84	Werbe	5
84	Maenara	5
84	AlphaWolfPlaysMC	5
84	_i_ERROR_i_	5
84	jcool7	5
84	Hermanni__	5
84	Kubeusz2010	5
84	MirielThePastor	5
100	Yatitay	4
100	SaucyDark	4
100	Hpdinosaur	4
100	Ryker	4
100	bloodbiter	4
100	XboxPanda	4
100	legal_tax_evader	4
100	Jackattack53	4
100	selectrix	4
100	Mattesco	4
100	Lord_Zacler	4
100	fkGrim	4
100	Deathkob	4
100	Manaateee	4
100	El_Jalapeno	4
100	SkateboardR6	4
100	WyngGoy	4
100	Segotep999	4
100	Soplight	4
100	Spenduh	4
100	lcvezra	4
100	Ezekson	4
122	Jovaphobic	3
122	_Virify_	3
122	Merv__	3
122	KarlKaek	3
122	ImpavidArcher	3
122	Incinere	3
122	Alteriity	3
122	Valoth	3
122	MattieHD	3
122	emrekn	3
122	Septemb3r	3
122	Stiar	3
122	M_Patata	3
122	yheece	3
122	SuperPooch06	3
122	Rumpletaezer	3
122	Jonte0599	3
122	cedric72	3
122	xDraggin	3
122	rotten_mango	3
122	GoofyBread	3
122	_Karmaa	3
122	Blu3beast	3
122	censorsheep	3
122	Ritter__	3
122	Steve897	3
122	Warlord324	3
122	Hisiste	3
122	Factoroni	3
122	MasterNueve	3
122	MakeHistory157	3
122	StarCookiees_	3
122	ayamefag	3
122	voiding_	3
122	pixelviolin	3
122	MineMaster0012	3
122	NATE_the_HALO	3
122	ProbsNotNova	3
122	alderban107	3
122	Iamthejo	3
122	Legendosh	3
122	xolstoi	3
122	h2p_emrld	3
122	diggydog67	3
166	RosaDoesMC	2
166	Mr_Byzantine	2
166	Apollo_993	2
166	PhantomsGhost_	2
166	teslawolf38	2
166	Tommhh	2
166	Wooptey	2
166	RebelAndroid	2
166	lorywithay	2
166	AlazelTheReal	2
166	Jackster03	2
166	Arteriana	2
166	ITDV	2
166	H72l9w	2
166	301851	2
166	Swexti	2
166	ccwildfire1	2
166	Malorn_Aetherius	2
166	m_be9	2
166	noodlepack	2
166	Secret_Canary	2
166	ConcretePirate	2
166	Smashic	2
166	Mewar	2
166	xxPipperDipperxx	2
166	Covalents	2
166	Giannism	2
166	fr_ser	2
166	WET_WET_WET	2
166	Arceus1975	2
166	LAVA129	2
166	Hiryu27	2
166	Skylord_Luke	2
166	ooga47	2
166	Truckoss	2
166	MousePlays	2
166	KliBeast21	2
166	wezzzi	2
166	yulgur1	2
166	Jiminbub	2
166	Tyrannosplart	2
166	Karbl	2
166	Fuad_R	2
166	ewpunk	2
166	Quaintster	2
166	FlashMigma	2
166	MightyWertu	2
166	GravitySaint	2
166	Airem_Core	2
166	ElKaySVK	2
166	Burge_r	2
166	Soul_Atreus	2
166	kyouma777	2
166	CACTUSLAD	2
166	Kyrum2169	2
166	__tomato	2
166	SammiWolfGirl	2
166	LeeMcGee30	2
166	ZeroKraken	2
166	EngagedGrub41	2
166	TheBananaKat	2
166	OfficerAnvil	2
166	ConnorDanky_	2
166	EcksD	2
166	RadarHz	2
166	Nicserso	2
232	Mr_Worthless	1
232	JuckFuan	1
232	Groovy_MoonBird	1
232	k_ce	1
232	Matemax	1
232	NatalieTW	1
232	Froste131	1
232	JohnnyFyes	1
232	chipklip	1
232	_Huge_Male_	1
232	dudcreeper	1
232	RoskobiOne	1
232	fanofbands101	1
232	BPTY4618	1
232	_darky1_	1
232	Ailmast	1
232	TildaAndrea	1
232	KingFaenor	1
232	Creativebuilder2	1
232	Iagoku	1
232	ssleepless	1
232	jimbo61101jr	1
232	TooManyDuck	1
232	Killercatty78	1
232	Flores991	1
232	SyntheticSurgeon	1
232	Natty	1
232	lotarp	1
232	TAKrules	1
232	Huwulling	1
232	MoistMicrowave	1
232	buss081	1
232	stevewithclout	1
232	SpaceGrenadier	1
232	Meme25327	1
232	Pofen	1
232	ilynyan	1
232	Prodiginus	1
232	picardred	1
232	xPixelRainx	1
232	SDMNAEK	1
232	Cryptacity	1
232	Zedducius	1
232	jacxhadow	1
232	MinttyFressh	1
232	Tiberonus	1
232	pr33tu	1
232	ProfessorBee	1
232	Megarboh	1
232	zorin123	1
232	_Dean_123	1
232	Enigma0251	1
232	Austine6698	1
232	500am	1
232	G1ldor	1
232	excelsionprime	1
232	Z3braYTIL	1
232	set67	1
232	4774	1
232	UncreativeArtist	1
232	paranoid_plant	1
232	lorpus	1
232	himak1	1
232	KGTV	1
232	eviltunix	1
232	Patwannabegamer	1
232	SharpDev	1
232	__TheNorseMan__	1
232	Cerbric	1
