rank	username	minecraft:mined/minecraft:lime_bed
1	HellsSponge	98
2	eitanzaki	60
3	Blu3beast	51
4	kekhon	20
5	Vizzoid	19
6	benediktine1	17
6	Kim_Jong_eel	17
8	Kakolbus	15
9	noam464	13
9	The_slideV3	13
9	jcool7	13
9	jnp_gaming	13
13	audiocracked	12
14	TheDankPlatypus	11
15	T045RTY	10
15	beeperbeeper5	10
17	pintsizedrogue	9
17	Blackberry1310	9
17	ProfessorDiaper	9
17	Smoke____	9
21	Hyugo	8
21	set67	8
21	gcaisawesome	8
21	TableTim	8
21	Freak_Genius	8
26	bigstankyy	7
26	Kamflame10	7
26	xo_Marren_xo	7
26	Enderslayerxz3	7
30	MilleGrug	6
31	heckface	5
31	500am	5
31	purpolepickle	5
31	Bumpy419	5
31	Kukkelikuk	5
36	Blaiku	4
37	gabriels543	3
37	SuperPooch06	3
37	Werbe	3
37	DanielMmm	3
37	BRRRN179	3
37	TheShyPig	3
37	AssEatrAndLicker	3
37	El_Jalapeno	3
37	SvenskaHugo	3
37	YungMaki	3
37	PortlyPete69	3
37	Hermanni__	3
49	Ilinca_Io	2
49	SaucyDark	2
49	Mahoose	2
49	TheRealGameBoy24	2
49	UncreativeArtist	2
49	jewbacaman	2
49	Maenara	2
49	FreddyFart	2
49	Mafubana	2
49	_Karmaa	2
49	Groundler	2
49	TheEnderman548	2
49	stellarjay	2
49	Nicserso	2
63	imNP	1
63	joethahobo	1
63	m_be9	1
63	o0z	1
63	lordsaladito	1
63	Dali1465	1
63	Xalithia	1
63	TylerDupree	1
63	XboxPanda	1
63	MyNameIsJobo	1
63	burbankbuilder28	1
63	WarMachina	1
63	genesis2501	1
63	victorLIE	1
63	Myhym	1
63	XeroByMyth	1
63	TheSeismicDuck	1
63	Gryglu583	1
63	Shogunite	1
63	Stylessz	1
63	GravitySaint	1
63	Spacewardharpy7	1
63	MakeHistory157	1
63	CSG_Haru	1
63	Seindi	1
63	DennyKai	1
63	EcksD	1
63	KidSantana	1
63	Sral7	1
