rank	username	minecraft:mined/minecraft:jungle_log
1	EveryonesUncle	22352
2	Blackberry1310	13910
3	Hyp3rion_	12768
4	ROY4LE	8550
5	WET_WET_WET	6891
6	Prodiginus	5710
7	Werbe	5131
8	BlancoFlaco	3690
9	Steelynan	3675
10	Winklepicker279	3120
11	Marbz_	3038
12	PigDab	2892
13	IWorkAtIkea	2852
14	TechnoNinja64	2607
15	MyNameIsJobo	2601
16	beeperbeeper5	2554
17	cedric72	2376
18	Windo_licker	2374
19	Airem_Core	2343
20	joethahobo	2233
21	kekhon	2142
22	DemTechAlpha	2069
23	HellsSponge	2046
24	mwrty	1989
25	TheShyPig	1981
26	Snowflowe	1958
27	Factoroni	1929
28	PeteO1995	1902
29	El_Jalapeno	1892
30	Enderxz3	1889
31	Historical_Sand	1880
32	Xalithia	1867
33	MightyWertu	1861
34	Kamflame10	1802
34	Smoke____	1802
36	NomadicRobin_	1761
37	bladeefan2009	1706
38	MilleGrug	1610
39	hanaryheatwave	1558
40	Bandito_Roamer	1518
41	AuroraValkyrie	1495
42	Nycteus_	1475
43	luseis	1391
44	EngagedGrub41	1341
45	Xclax101	1326
46	RoofTyler	1299
47	Jackattack53	1289
48	himak1	1284
49	RefluxRatio	1272
50	ese_wn_po	1210
51	Awyrlas	1194
52	PlasticOtari	1186
53	TheSecondLord	1154
54	SvenskaHugo	1124
55	BronkerBrum	1100
56	Mr_Byzantine	1077
57	Zaridey	1060
58	titanlax	1048
59	eviltunix	1003
60	Thaumatarge	974
61	SaucyDark	956
62	Soplight	952
63	Merv__	917
64	gabriels543	916
65	Kubelz	886
66	TAKrules	868
66	Kowcio_	868
68	fluddd	848
69	Hoid_the_Roamer	840
70	chrolus	799
71	noam464	782
72	Cryptacity	763
73	500am	760
74	Onennon	745
75	SteveCraftBlocks	663
76	Spacewardharpy7	620
77	Kferno	605
78	HesDemonPants	595
79	CoffeeNoir	586
80	pixelviolin	584
81	Toiton	582
82	123louis456	570
83	MovingFish7	569
84	PegLegPete93	559
85	RadarHz	557
86	Deathkob	555
87	KingMatthew506	536
88	Sna_Ke	535
89	lillips	526
90	YungMaki	521
91	Drawgirl	511
92	QuiCreans	509
93	pintsizedrogue	496
