rank	username	minecraft:mined/minecraft:potted_birch_sapling
1	TheShyPig	14
2	corvidpartyfor6	10
3	Mahoose	6
4	KarlKaek	4
5	Avocadogerms	3
6	BlancoFlaco	2
6	jimintyy	2
6	QuiCreans	2
6	Tiberonus	2
6	TheKingK_	2
11	heysushii	1
11	AuroraValkyrie	1
11	6king6colt6	1
11	Myszoaz	1
11	beeperbeeper5	1
11	Smashic	1
11	Inchef	1
11	purpolepickle	1
11	Spacewardharpy7	1
11	Druid95	1
11	taengoos	1
11	Enderxz3	1
11	TheWickedBird	1
