rank	username	minecraft:mined/minecraft:cake
1	noam464	57
2	_Bguette_	27
3	Merv__	20
3	Mahoose	20
5	jnp_gaming	18
6	Soplight	15
7	xxPipperDipperxx	11
7	TheShyPig	11
9	6king6colt6	10
9	fluddd	10
9	Ezekson	10
12	pintsizedrogue	9
12	joethahobo	9
12	beeperbeeper5	9
12	lordpipe	9
16	Bumpy419	8
16	Freak_Genius	8
18	kekhon	7
18	Smoke____	7
20	SaucyDark	6
20	aluminumhelmet	6
22	burbankbuilder28	5
22	The_slideV3	5
22	Sral7	5
25	eitanzaki	4
25	titanlax	4
25	Blackberry1310	4
25	500am	4
25	Inchef	4
25	Snowflowe	4
25	Syropatathe	4
25	El_Jalapeno	4
25	Eraxa	4
34	CoffeeNoir	3
34	Historical_Sand	3
34	Di_infiri	3
34	Chromary	3
34	DScatgirls	3
34	Akoot_	3
34	chipklip	3
34	Kowcio_	3
34	stahouo	3
34	ItsJunoIGuess	3
34	oxfordschool	3
34	EcksD	3
46	KarlKaek	2
46	T045RTY	2
46	bloodbiter	2
46	_Dean_123	2
46	Fullut	2
46	ROY4LE	2
46	Werbe	2
46	sammidk	2
46	RodSerlingCringe	2
46	Lord_Jord	2
46	claivin	2
46	AssEatrAndLicker	2
46	YungMaki	2
46	Spenduh	2
46	Enderslayerxz3	2
46	Legendosh	2
46	TechnoNinja64	2
46	PlasticOtari	2
64	Batoser	1
64	Elprone266	1
64	pZygh0st	1
64	Ailmast	1
64	teslawolf38	1
64	I_Am_Mushkin	1
64	diamondgolem35	1
64	ImpavidArcher	1
64	JingleLizi	1
64	BlancoFlaco	1
64	Wooptey	1
64	Rox_The_Box	1
64	Butternutsquatch	1
64	301851	1
64	Yellowpowr	1
64	DirtyDalle	1
64	Euclidoris	1
64	TheSecondLord	1
64	GingerNeutron	1
64	eclipseboi	1
64	LegendarySlayer	1
64	thebest_daniela	1
64	UncreativeArtist	1
64	thescout7	1
64	egglapras	1
64	himak1	1
64	eviltunix	1
64	Seiko39	1
64	Lotvailer	1
64	CaptainBadKid	1
64	Kubelz	1
64	XboxPanda	1
64	Windo_licker	1
64	fr_ser	1
64	Jackattack53	1
64	Arceus1975	1
64	Hyp3rion_	1
64	wTXop	1
64	pappaberg	1
64	RobotMinion101	1
64	Onennon	1
64	Kynigito	1
64	Waffleman258	1
64	Cattoh	1
64	_naturell	1
64	thgrocks	1
64	HoldThatPee	1
64	Maenara	1
64	ElderRifken	1
64	NomadicRobin_	1
64	Inbefour	1
64	KlausVonStiglitz	1
64	lillips	1
64	DarkS0L	1
64	majlin16	1
64	DarlaMeow	1
64	Soap_Bender	1
64	NameGenerat0r	1
64	Travka100	1
64	Nycteus_	1
64	censorsheep	1
64	Frozil12	1
64	Xclax101	1
64	GravitySaint	1
64	Blaiku	1
64	Fildyr	1
64	Airem_Core	1
64	Factoroni	1
64	IAmTheWalrus910	1
64	Ze_BaronKrigler	1
64	toos1esl1de	1
64	Nagasaki_Riku	1
64	Optiprimus	1
64	kyouma777	1
64	Azazel_Echo	1
64	Balthie	1
64	brofrickcheaters	1
64	SammiWolfGirl	1
64	Appl3x1	1
64	sebastiensaborio	1
64	_3Stump_	1
64	erkada	1
64	AltnumberF4	1
64	2blox	1
64	Kateesaur	1
64	remmisrat	1
64	h2p_emrld	1
