rank	username	minecraft:mined/minecraft:mossy_stone_brick_slab
1	Eraxa	127
2	Merv__	61
3	Jiminie	55
4	Winklepicker279	54
5	Comma__	39
6	HellsSponge	36
7	Soplight	34
8	KarlKaek	33
9	soundad	23
10	Freak_Genius	22
11	Onennon	18
12	noam464	16
13	Smoke____	9
14	500am	8
14	djancak	8
16	pintsizedrogue	7
16	Mahoose	7
18	Xalithia	6
18	El_Jalapeno	6
18	PlasticOtari	6
21	RebelAndroid	5
21	Di_infiri	5
21	Nycteus_	5
24	fanofbands101	4
24	Cryptacity	4
24	monky_irl	4
24	Segotep999	4
28	TheSecondLord	3
28	Rich_Kat	3
28	killmeiamtraitor	3
28	Leyna3	3
28	Lord_Jord	3
28	MyNameIsDakar	3
28	Shogunite	3
28	Ezekson	3
28	Enderslayerxz3	3
28	Legendosh	3
28	diggydog67	3
39	Drlzyy	2
39	joethahobo	2
39	rarrq	2
39	Z3braYTIL	2
39	fade_emerge78823	2
39	Kubelz	2
39	ormr_kin	2
39	Maenara	2
39	TheSeismicDuck	2
39	MAns_44	2
39	Yahir091	2
39	SvenskaHugo	2
39	Spenduh	2
39	oxfordschool	2
53	EMC_	1
53	Frozil20	1
53	error10101	1
53	itburb	1
53	Flores991	1
53	Incinere	1
53	CoffeeNoir	1
53	Historical_Sand	1
53	SquadMonster	1
53	ccormacs	1
53	Euclidoris	1
53	Khelvoryk	1
53	12Magner05	1
53	set67	1
53	Dali1465	1
53	LotusProject	1
53	ROY4LE	1
53	prizm_	1
53	breadbowlgamer	1
53	Jackattack53	1
53	SuperPooch06	1
53	thewindmillman	1
53	Hyp3rion_	1
53	sammidk	1
53	Jimi7hits	1
53	yulgur1	1
53	NomadicRobin_	1
53	Qorbyn	1
53	GigaSl	1
53	Spacewardharpy7	1
53	Kowcio_	1
53	UltraZombie	1
53	Hermanni__	1
53	Kubeusz2010	1
53	RadarHz	1
53	AltnumberF4	1
53	HesDemonPants	1
