rank	username	minecraft:mined/minecraft:pink_stained_glass_pane
1	pintsizedrogue	76
2	Lez_	68
3	lordpipe	64
4	joethahobo	42
5	_Cloverbelle_	31
6	Onennon	28
7	Smashic	19
8	beeperbeeper5	18
9	Arceus1975	16
9	PigDab	16
11	pretty_pink_reno	15
12	livingdaydreams	13
12	XxCookiequeenxX	13
14	CoffeeNoir	12
14	jnp_gaming	12
16	xxPipperDipperxx	11
16	Krowuss	11
16	FreakGenius	11
19	Werbe	10
19	skitzxo	10
21	EMC_	6
21	Steelynan	6
23	Ryan_GEMS	4
23	noam464	4
23	Billious	4
23	CaptainDeadBread	4
23	Yamdalorian	4
28	Alteriity	3
28	jushykins	3
28	crashomon	3
28	hanaryheatwave	3
28	LexMakesHistory	3
28	LordSpeed37	3
28	KamFurnace	3
28	AltnumberF4	3
36	oscminus	2
36	YahooScreen9000	2
36	NomadicRobin_	2
36	luseis	2
36	MakeHistory157	2
41	Groovy_MoonBird	1
41	pr33tu	1
41	bl1ss0	1
41	CollinMH06	1
41	Pumpkin_P_Patch	1
41	obzii	1
