rank	username	minecraft:mined/minecraft:oxidized_cut_copper
1	milltesco	618
2	SpacesickPrism	401
3	Manaateee	343
4	Mattesco	234
5	pintsizedrogue	114
6	Spaghettatron	95
7	_Huge_Male_	73
8	Marbz_	67
9	excelsionprime	55
10	Mr_Byzantine	53
11	Kowcio_	28
12	pixelviolin	27
13	Apollo_993	19
14	Enderxz3	18
15	MattieHD	16
16	luseis	15
16	PlasticOtari	15
18	Lez_	6
18	skroobiez	6
20	Niklas20114552	4
20	Secret_Canary	4
22	Juansinmiedo18	3
22	thewindmillman	3
22	Jimb0nat0r	3
25	ZoomieZoomie	2
25	EcksD	2
27	CLG_Kata	1
27	Caribouse	1
27	TheSecondLord	1
27	bl1ss0	1
27	Jekyll	1
27	oscminus	1
27	Buuck_	1
27	TheWickedBird	1
