rank	username	minecraft:mined/minecraft:brain_coral
1	thewindmillman	306
2	Di_infiri	139
3	Kouridragon	119
4	Enderxz3	98
5	Legendosh	89
6	Jackattack53	74
7	ImpavidArcher	45
8	j5ylim	44
9	kekhon	39
10	TheShyPig	38
11	500am	34
12	pintsizedrogue	32
12	YungMaki	32
14	Hyp3rion_	31
15	beeperbeeper5	28
15	12Magner05	28
17	Lez_	27
18	jessewegottacook	24
18	Fullut	24
20	livingdaydreams	20
20	lordpipe	20
22	Mahoose	19
22	_Dean_123	19
24	Merv__	18
25	RoskobiOne	17
25	Huwulling	17
25	luseis	17
28	ApophisNova	15
28	MyNamaSheff	15
30	PazinGaming	14
31	SaucyDark	13
31	Xalithia	13
33	Mewar	12
33	Vetral1	12
33	Nicserso	12
36	Blackberry1310	11
36	Marbz_	11
38	AuroraValkyrie	9
38	Onennon	9
38	Kowcio_	9
38	__tomato	9
38	Luigipunch989	9
43	eitanzaki	8
43	TheSecondLord	8
43	Bumpy419	8
43	HellsSponge	8
43	mihimihimihi	8
48	Ssor69	7
48	AdmiralSmoke	7
50	Archsam	6
50	Rumpletaezer	6
50	EcksD	6
53	Jovaphobic	5
53	Bandito_Roamer	5
53	noam464	5
53	Kakolbus	5
53	Inbefour	5
53	balin55	5
53	Quaintster	5
53	SpacesickPrism	5
53	TechnoNinja64	5
62	eiC_	4
62	MyNameIsJobo	4
62	Arceus1975	4
62	Blaiku	4
62	WyngGoy	4
62	IdeallyGrey	4
62	pixelviolin	4
62	djancak	4
62	Steelynan	4
62	Jimb0nat0r	4
62	PlasticOtari	4
73	SmashingPump	3
73	Iagoku	3
73	urbeans	3
73	Inchef	3
73	surfinggiraffejp	3
73	hanaryheatwave	3
73	RobotMinion101	3
73	HolyVenom	3
73	Maenara	3
73	Tyrannosplart	3
73	Manaateee	3
73	1442	3
73	Xclax101	3
73	Factoroni	3
73	Druid95	3
73	Kura2218	3
73	h2p_emrld	3
90	6king6colt6	2
90	diamondgolem35	2
90	Stynxy	2
90	_Nat666	2
90	bloodbiter	2
90	excelsionprime	2
90	TheDankPlatypus	2
90	NotoriousNina	2
90	M_Patata	2
90	CollinMH06	2
90	SvenskaSara	2
90	AlexxO_o	2
90	aec9	2
90	Eerini	2
90	Akoot_	2
90	MasterNueve	2
90	Soplight	2
90	lcvezra	2
90	KingMatthew506	2
90	Biites	2
90	Zoeyfortnite	2
90	diggydog67	2
112	chipklip	1
112	abramgray	1
112	dimondking777	1
112	KarlKaek	1
112	hm947	1
112	Alteriity	1
112	Seyaboy	1
112	Prismyst	1
112	joethahobo	1
112	H72l9w	1
112	gaziter10	1
112	tramizu	1
112	Euclidoris	1
112	InfernalMound	1
112	titanlax	1
112	Cryptacity	1
112	Covalents	1
112	Winklepicker279	1
112	jedi_george	1
112	SuperPooch06	1
112	burbankbuilder28	1
112	Krowuss	1
112	Donutt	1
112	Voxin2K	1
112	Werbe	1
112	PigDab	1
112	LilLizardWizard	1
112	Jimi7hits	1
112	groofles	1
112	TheSeismicDuck	1
112	fkGrim	1
112	Deathkob	1
112	jambvds	1
112	Karbl	1
112	NameGenerat0r	1
112	queenalina123	1
112	StinkyDiplomat	1
112	FreakGenius	1
112	El_Jalapeno	1
112	Blu3beast	1
112	censorsheep	1
112	GravitySaint	1
112	Typadopoulos	1
112	DarkLawD	1
112	cytotoxaint	1
112	monky_irl	1
112	iSammael	1
112	MakeHistory157	1
112	PortlyPete69	1
112	Njensen7	1
112	ZeroKraken	1
112	laron58	1
112	Apicomplexa	1
112	ConnorDanky_	1
112	HesDemonPants	1
112	Powowowow	1
112	Sral7	1
112	skrongus	1
112	FishisTTV	1
112	Wanjibon	1
