rank	username	minecraft:mined/minecraft:smooth_stone
1	Hyp3rion_	11091
2	EveryonesUncle	8101
3	thescout7	5097
4	Ze1ig	4934
5	thewindmillman	4837
6	m_be9	2375
7	T045RTY	2248
8	MilleGrug	1903
9	PlasticOtari	1623
10	sp00ky_ghost977	1571
11	MyNameIsJobo	1495
12	Winklepicker279	1407
13	EngagedGrub41	1401
14	RebelAndroid	1383
15	Kakolbus	1196
16	Cowison	1096
17	anbbang	1052
18	500am	923
19	titanlax	920
20	Stiar	884
21	eitanzaki	852
22	KingMatthew506	829
23	Mr_Byzantine	819
24	Steelynan	794
25	Smoke____	709
26	joethahobo	695
27	TheShyPig	679
28	Lord_Jord	668
29	Comma__	654
30	mariominejedi	652
31	Megarboh	649
32	Inbefour	648
33	noam464	617
34	Kferno	616
35	Njensen7	604
36	TheSecondLord	602
37	Darkgon	587
38	set67	578
39	DanTheBuilderino	561
40	egglapras	557
41	Blu3beast	501
42	Truckoss	500
43	Racengan	476
44	Spacewardharpy7	475
45	Airem_Core	467
46	ZeroKraken	457
47	MightyWertu	436
48	rarrq	423
49	Xclax101	422
50	_3Stump_	414
51	Mahoose	403
52	Nicserso	384
53	Jovaphobic	380
54	HellsSponge	360
55	Strangemonkey71	353
56	ShedJr_	347
57	Skylord_Luke	345
58	Spenduh	342
59	Sky_light_KING	321
60	Marbz_	307
61	Jackattack53	304
62	oxfordschool	301
63	Blackberry1310	288
64	Onennon	286
65	Groundler	274
65	MovingFish7	274
67	Zythose	268
68	El_Jalapeno	264
68	TheMiddayMoon	264
70	Quincannon	255
71	Quotary	252
72	Bandito_Roamer	247
73	ImpavidArcher	244
73	himak1	244
75	_czarny	238
76	Historical_Sand	237
77	_Karmaa	228
78	Sheldor097	222
79	NameGenerat0r	219
80	Ze_BaronKrigler	218
80	Ezekson	218
82	alderban107	210
83	fred870d	209
84	Snowflowe	208
85	Tobinator_007	200
86	Kynigito	196
87	Merv__	193
87	Di_infiri	193
89	pixelviolin	192
90	JESS_THE_RERE	178
91	Neps1	177
92	jnp_gaming	170
93	iHuntWeeaboos	166
94	Frozil20	163
95	CalebDHawk	162
96	Ailmast	160
97	Alteriity	159
97	fffMike	159
99	Hermanni__	156
100	Winston_Ingram	151
101	JayToe	150
102	Eczbek	149
103	ssleepless	148
104	Malorn_Aetherius	147
105	Prodiginus	145
106	PlzNoBM	144
107	YungMaki	137
108	Hoid_the_Roamer	134
109	xxPipperDipperxx	133
110	EcksDofficial	128
111	EMC_	124
111	Kowcio_	124
113	pintsizedrogue	122
114	Drewen24	119
114	The_slideV3	119
116	AlphaWolfPlaysMC	118
117	burbankbuilder28	115
117	Eraxa	115
119	Lutres_Torane	110
120	Enderslayerxz3	108
121	StinkyDiplomat	107
