rank	username	minecraft:mined/minecraft:gray_bed
1	Historical_Sand	65
2	PlasticOtari	54
3	TheOuterCore	30
4	Fuad_R	25
5	Kkanot	24
6	Soplight	22
7	kekhon	19
7	smogfrog	19
9	Prismyst	16
9	lorpus	16
9	EveryonesUncle	16
12	noam464	12
12	Tyrannosplart	12
12	starbits140	12
15	epiksk8erduck	11
15	_Karmaa	11
17	Lez_	9
18	picardred	8
18	Shogunite	8
20	Mahoose	7
20	Ozixar	7
20	Rumpletaezer	7
20	Onennon	7
20	Shin69	7
20	non089	7
26	Chickenchaser2	6
26	El_Jalapeno	6
26	cog	6
26	__tomato	6
26	FGamerJ	6
31	Xalithia	5
31	BumbleBeever	5
31	gusstationwerker	5
34	beeperbeeper5	4
34	eiC_	4
34	Doom_melon	4
34	Burge_r	4
34	ReyTheLegend	4
34	Steelynan	4
40	Merv__	3
40	diamondgolem35	3
40	Reamdin	3
40	Meme25327	3
40	RealGroot	3
45	RoskobiOne	2
45	Cryptacity	2
45	ConcretePirate	2
45	FennYuzuna	2
45	Chromary	2
45	Hyp3rion_	2
45	Werbe	2
45	Kouridragon	2
45	Drewen24	2
45	Aangezet	2
45	Akoot_	2
45	binman420	2
45	fkGrim	2
45	FreakGenius	2
45	Blaiku	2
45	Eraxa	2
45	fffMike	2
45	Legendosh	2
45	bieeee	2
45	Zoeyfortnite	2
45	diggydog67	2
66	Lepthymo	1
66	BoopDoop_123	1
66	teslawolf38	1
66	MikeIsSalty	1
66	ImpavidArcher	1
66	SaucyDark	1
66	Cartoonmaniac	1
66	Cambo5000	1
66	groggregg42	1
66	mwrty	1
66	NotKaden_	1
66	arcanemagic	1
66	shockdocta	1
66	HAPPYfaceO1	1
66	TheShyPig	1
66	theofiel	1
66	CJPerson	1
66	atz513v2	1
66	Nycteus_	1
66	Optiprimus	1
66	Kyrum2169	1
66	alkrie	1
66	Nictoon	1
66	FelixPSY375	1
66	camando92	1
66	Smoke____	1
66	FishisTTV	1
