rank	username	minecraft:mined/minecraft:glowstone
1	HellsSponge	3357
2	beeperbeeper5	3281
3	wwwwinnebagoooo	2744
4	lordpipe	2645
5	TheSecondLord	2509
6	doublemaki	2499
7	emreknugrlu	2162
8	TheShyPig	1919
9	Xclax101	1733
10	noam464	1707
11	Hyp3rion_	1450
12	Blaiku	1417
13	m_be9	1313
14	pintsizedrogue	1247
15	SuperPooch06	995
16	Zythose	977
17	joethahobo	971
18	500am	947
19	Yamdalorian	944
20	Kakolbus	912
21	royal_2	909
22	ROY4LE	887
23	Werbe	882
24	Blackberry1310	879
25	Frozil20	840
26	Di_infiri	806
27	WET_WET_WET	797
28	Franco093	791
29	Niklas20114552	768
29	EtherealSilveon	768
31	Legendosh	698
32	Spacewardharpy7	696
33	MyNameIsJobo	659
34	TheSeismicDuck	630
35	El_Jalapeno	627
36	Mattesco	610
37	Winklepicker279	595
38	Blu3beast	588
39	Maenara	584
40	bloodbiter	569
41	Typadopoulos	556
42	_Karmaa	550
43	thewindmillman	547
44	Akoot_	546
45	diggydog67	532
46	TheKingK_	531
47	Enderxz3	522
48	301851	517
49	Skippeh	508
50	Rumpletaezer	495
51	kekhon	483
51	Kowcio_	483
53	Mahoose	480
54	MilleGrug	472
55	Lez_	469
56	Ssor69	466
56	Awyrlas	466
58	andy_rex	465
59	wezzzi	461
60	PigDab	453
61	Groundler	450
62	eitanzaki	445
63	MAns_44	434
64	Kouridragon	428
65	PlasticOtari	426
66	StinkyDiplomat	420
67	Incinere	418
68	Snowflowe	413
69	TechnoNinja64	407
70	vandmanden	406
71	Cruncy_	403
72	Onennon	400
73	AJplaysMC_	399
74	Hisiste	394
75	FreakGenius	385
76	Inchef	379
77	Myszoaz	370
78	Deerfoot	367
79	Barlycorn	359
80	Steelynan	356
81	CoffeeNoir	354
82	Vorlice	346
83	miramyu	341
84	ougstur	339
84	_MeowMix	339
86	Valoth	332
87	MattieHD	327
88	Bandito_Roamer	317
88	Ryan_GEMS	317
90	MustardDrinker	315
91	Wolverine4302	314
92	Ezekson	299
93	taengoos	295
94	Groovy_MoonBird	294
95	EMC_	287
96	Marbz_	278
96	ApophisNova	278
96	TwinTowerV2	278
99	Bumpy419	268
100	MyNamaSheff	266
101	Solar_Power	265
101	SSytex_X	265
103	SDMNAEK	260
104	OfficerAnvil	256
105	Merv__	254
106	_Dean_123	252
107	Razzgriz	248
108	mwrty	246
108	Soplight	246
110	Racengan	243
111	DarlaMeow	241
112	r123moore	240
112	WyngGoy	240
114	Arceus1975	238
115	RadarHz	237
116	Darkgon	236
116	Jimb0nat0r	236
118	Caribouse	234
119	oscminus	232
119	SammiWolfGirl	232
121	q_wq	230
122	Inbefour	229
123	MightyWertu	228
124	Twighst	226
125	Mr_Byzantine	222
126	diamondgolem35	219
126	NameGenerat0r	219
128	jcool7	218
129	Studio4x32	213
130	xzvu	209
131	TooManyDuck	208
132	NomadicRobin_	207
133	Zaridey	206
134	PazinGaming	204
135	JESS_THE_RERE	203
136	__Fanda__	201
136	U_Mos_	201
138	mihimihimihi	199
139	pappaberg	198
139	Elastiq	198
141	Jovaphobic	195
142	_i_ERROR_i_	194
142	JayToe	194
144	HUNTERmaun	189
145	Donutt	188
145	Eraxa	188
147	Fullut	185
148	_Yonk_	184
149	ShedJr_	183
149	Druid95	183
151	Nicserso	182
152	00000000-0000-0000-0009-01ff0c3e5e4f	179
153	_flud	178
154	eiC_	177
155	eviltunix	169
156	_Nuf	168
157	jacxhadow	165
158	jewbacaman	164
158	Fuhrer_Teemo	164
160	Cowison	162
160	claivin	162
162	selectrix	161
163	thescout7	158
164	Froste131	155
164	Gregward_Smith	155
164	1442	155
167	IamCL4SSY	154
167	MakeHistory157	154
169	hanaryheatwave	153
170	SingedBread	151
170	07shiny	151
172	ori0le	149
173	11Brewer	147
174	Buuck_	145
175	fffMike	144
176	Mewar	143
177	Alteriity	142
178	Skylord_Luke	141
178	Skwillyum13	141
178	KeruNatsema	141
178	Iamthejo	141
182	BodaciousCake	139
182	The_slideV3	139
184	6king6colt6	138
185	bigstankyy	137
185	Paintz	137
185	Jekyll	137
188	GravitySaint	136
189	roxycherry	135
189	himak1	135
191	Jij0	134
192	AltnumberF4	133
193	PortlyPete69	131
194	k_ce	130
194	Parcc	130
194	groofles	130
194	hoaimi	130
194	wobn	130
199	Deathkob	129
199	CalebDHawk	129
201	NoChumpChange	128
202	PhantomsGhost_	126
203	chipklip	125
203	fanofbands101	125
203	seramalen	125
206	Apollo_993	123
206	FlashMigma	123
208	T045RTY	122
208	emrekn	122
210	titanlax	121
211	excelsionprime	120
212	stellarjay	119
213	luseis	118
214	shineh10	117
214	Pumpkin_P_Patch	117
216	livingdaydreams	116
216	PaperCanvas	116
218	Stynxy	115
218	Paul_Katan	115
218	pixelviolin	115
221	lpinfinity	114
222	geekbird	112
223	MSK__	111
224	Ajax6	110
224	Segotep999	110
226	F_Uhre	108
227	tobinwilliams	107
228	XeroByMyth	106
228	Cocoamallows	106
228	NebulousBadger	106
228	Kubeusz2010	106
232	LilLizardWizard	105
233	yulgur1	104
234	rarrq	103
234	obzii	103
236	Scathra	102
236	Corbsman	102
238	EveryonesUncle	101
239	AlphaWolfPlaysMC	100
240	Rebytre	99
240	ConnorDanky_	99
242	Cortexia	98
242	censorsheep	98
244	TheBiggestFeller	97
244	RebelAndroid	97
244	kalzor	97
247	fallingemma	95
247	SlayerCrypto	95
249	leaf26	94
249	Matorz	94
251	RoskobiOne	92
251	gcaisawesome	92
251	The11thDoctor	92
254	cytotoxaint	91
254	Western_1	91
256	4774	90
256	SvenskaHugo	90
258	crying_wolf_13	89
258	lunkuku	89
260	Winston_Ingram	88
