rank	username	minecraft:mined/minecraft:green_shulker_box
1	pintsizedrogue	1981
2	TheShyPig	458
3	YungMaki	444
4	SteveCraftBlocks	438
5	PlasticOtari	394
6	beeperbeeper5	377
7	gcaisawesome	331
8	thescout7	328
9	Mahoose	303
10	ROY4LE	272
11	ConnorDanky_	226
12	Hyp3rion_	201
13	MyNameIsJobo	200
14	500am	188
14	AdmiralSmoke	188
16	HellsSponge	182
17	alderban107	177
17	Enderxz3	177
19	lordpipe	160
20	6king6colt6	123
21	luseis	122
22	Deathkob	120
22	Blaiku	120
24	Mattesco	119
25	Awyrlas	116
26	jnp_gaming	113
27	PortlyPete69	111
28	m_be9	110
29	Lez_	102
30	TheSecondLord	90
31	MakeHistory157	85
32	Snowflowe	84
33	TechnoNinja64	82
34	jessewegottacook	78
35	thewindmillman	76
36	teslawolf38	75
37	Steelynan	71
38	pixelviolin	69
39	diamondgolem35	67
40	Lutres_	66
40	Barlycorn	66
42	Huwulling	65
43	yulgur1	64
44	Spenduh	63
45	Kowcio_	61
46	Scathra	58
46	Chromary	58
48	rarrq	57
49	Bumpy419	56
49	EcksD	56
51	XboxPanda	55
51	lillips	55
53	PhantomsGhost_	54
54	Akoot_	53
54	Groundler	53
56	Historical_Sand	49
56	kekhon	49
58	Manaateee	45
59	lcvezra	44
60	Jackattack53	43
60	Njensen7	43
62	Inchef	42
63	theonlymagikarp	39
63	07shiny	39
65	_3Stump_	38
66	EMC_	37
67	ShedJr_	36
68	mwrty	35
68	Di_infiri	35
68	OG_Songsee	35
71	Myszoaz	34
71	12Magner05	34
71	fr_ser	34
71	Spacewardharpy7	34
71	WyngGoy	34
71	Ezekson	34
77	MunkaKris	33
77	Soplight	33
79	BPTY4618	32
79	Lukeee33	32
81	DemTechAlpha	31
81	iSammael	31
83	Badenbeele	30
83	_Dean_123	30
85	ImpavidArcher	29
85	Hisiste	29
87	Ecplosive	28
88	eitanzaki	27
88	cedric72	27
88	LexMakesHistory	27
88	skrongus	27
92	Fullut	26
93	Blackberry1310	24
93	breadbowlgamer	24
93	oscminus	24
93	NameGenerat0r	24
93	claivin	24
93	camando92	24
99	CoffeeNoir	22
99	_Karmaa	22
99	obzii	22
102	MightyWertu	21
102	Dreamdbr14	21
102	KingMatthew506	21
105	Secret_Canary	20
105	noam464	20
105	Freeman666	20
105	MovingFish7	20
109	Rumpletaezer	18
109	MAns_44	18
109	Legendosh	18
112	Ozixar	17
112	JayToe	17
114	Apollo_993	16
114	titanlax	16
114	djancak	16
117	Foof13	15
117	ssleepless	15
119	joethahobo	14
119	Crowman1	14
119	Smashic	14
122	Hpdinosaur	13
122	Kakolbus	13
122	Hoid_the_Roamer	13
122	Blu3beast	13
122	kyouma777	13
127	TooManyDuck	12
127	ZaneABrain	12
127	Razzgriz	12
127	SammiWolfGirl	12
127	Jimb0nat0r	12
127	diggydog67	12
133	Alteriity	11
133	Aangezet	11
133	TruestTurnip	11
133	Segotep999	11
133	non089	11
133	Sheldor097	11
133	Nicserso	11
133	little_dUki	11
141	seanitoo	10
141	AlexxO_o	10
141	Nycteus_	10
141	Dogcorn69420	10
145	Mr_Byzantine	9
145	PazinGaming	9
145	corvidpartyfor6	9
145	Werbe	9
145	sp00ky_ghost977	9
145	xzvu	9
151	ProbablyNick	8
151	T045RTY	8
151	Auseawesome	8
151	Xalithia	8
151	hanaryheatwave	8
151	IamCL4SSY	8
151	SvenskaHugo	8
151	Skippeh	8
151	h2p_emrld	8
160	Da_Boss_Rani	7
160	pappaberg	7
160	PigDab	7
160	bearlystraight	7
160	Eraxa	7
165	Frozil20	6
165	Marbz_	6
165	Lord_Jord	6
165	OffWithTheirHead	6
165	Biites	6
170	CLG_Kata	5
170	ECstardust	5
170	nattybears	5
170	MrKrabOnCoke	5
170	longappendage	5
170	Skylord_Luke	5
170	k1ngGilgamesh	5
170	fxiryglitch	5
170	Kyrum2169	5
170	MineMaster0012	5
180	jushykins	4
180	PoogersLejit	4
180	xxPipperDipperxx	4
180	King_Pancake1	4
180	MinuteMira	4
180	Xclax101	4
180	UCP_TheKingK	4
180	fffMike	4
180	Sral7	4
189	Merv__	3
189	ExtraDumb	3
189	SaucyDark	3
189	eclipseboi	3
189	ApophisNova	3
189	wezzzi	3
189	Shogunite	3
189	El_Jalapeno	3
189	fluddd	3
189	the__Reaper4999	3
189	sadvavilloso	3
189	CattSoup	3
189	MyNamaSheff	3
189	FelixPSY375	3
189	MirielThePastor	3
204	ITDV	2
204	fade_emerge78823	2
204	emrekn	2
204	Stiar	2
204	corpsecity	2
204	F_Uhre	2
204	_Mythic____	2
204	Kekoo	2
204	ZeroKraken	2
204	Hermanni__	2
204	Zoeyfortnite	2
215	elicobnoah	1
215	BodaciousCake	1
215	Euclidoris	1
215	featherflyy	1
215	Valoth	1
215	himak1	1
215	magykcraft	1
215	r123moore	1
215	SuperPooch06	1
215	Arceus1975	1
215	Truckoss	1
215	Fakiuss	1
215	fw3xy74	1
215	Bl1tzFX	1
215	NomadicRobin_	1
215	audiocracked	1
215	Agent108	1
215	duqboy	1
215	KSI	1
215	rezi	1
215	Racengan	1
215	BlankityMcBlank	1
215	jcool7	1
215	K_a__a_n	1
