rank	username	minecraft:mined/minecraft:wet_sponge
1	Ezekson	14888
2	joethahobo	14652
3	noam464	7452
4	thewindmillman	7287
5	EMC_	6141
6	EcksD	5658
7	Jackattack53	5572
8	Lord_Jord	4612
9	BumbleBeever	4535
10	Enderxz3	4489
11	Hyp3rion_	4402
12	HellsSponge	4315
13	Snowflowe	4144
14	Spacewardharpy7	4054
15	Blu3beast	4011
16	Bumpy419	3790
17	EngagedGrub41	3755
18	YungMaki	3696
19	MilleGrug	3624
20	non089	2996
21	diamondgolem35	2761
22	Blaiku	2538
23	PigDab	2445
24	eviltunix	2258
25	AstreaTSS	2124
26	Yamdalorian	2103
27	NomadicRobin_	2041
28	obzii	1924
29	AuroraValkyrie	1894
30	PhantomsGhost_	1866
31	beeperbeeper5	1758
32	Segotep999	1725
33	Di_infiri	1617
34	Kakolbus	1598
35	pintsizedrogue	1594
36	Drawgirl	1543
37	Fuad_R	1534
38	500am	1467
39	himak1	1286
40	Maenara	1270
41	Barlycorn	1240
42	lizardfightclub	1215
43	ImpavidArcher	1213
44	IamCL4SSY	1208
45	MightyWertu	1195
46	eitanzaki	1146
47	Manaateee	1098
48	gcaisawesome	1035
49	SpacesickPrism	1033
50	H0UNDFRMH3LL	1025
51	TheSandwhich_	1016
52	lordpipe	1005
53	powercas_gamer	1003
54	xDraggin	985
55	Fullut	983
56	Pumpkin_P_Patch	874
57	skitzxo	852
58	oscminus	839
59	Comma__	785
60	pretty_pink_reno	750
61	hanaryheatwave	735
62	rarrq	733
63	SuperPooch06	730
64	hermmm_	725
65	Chromary	721
66	Kowcio_	710
67	MattieHD	706
68	MAns_44	694
69	Awyrlas	646
70	Lez_	623
71	Iagoku	591
72	Paintz	577
73	Archsam	539
74	QueenShuvi	528
75	Groundler	518
76	vandmanden	515
77	k_ce	505
78	M_Patata	497
78	MasterNueve	497
80	Smashic	493
81	RebytreGT	480
82	FishisTTV	467
83	Inbefour	460
84	Legendosh	451
85	Frozil20	450
86	Rumpletaezer	449
87	mihimihimihi	409
88	SammiWolfGirl	405
89	Mattesco	404
90	Skippeh	399
91	NameGenerat0r	397
92	gren_ben	379
93	Dogcorn69420	365
94	12Magner05	339
94	Zoeyfortnite	339
96	Alteriity	307
96	diggydog67	307
98	Marbz_	283
99	claivin	282
100	Alexanderjac	280
101	Arceus1975	273
102	The11thDoctor	229
103	calamariclam_I	226
104	Hiryu27	215
105	EdGalbraith	211
106	Soap_Bender	210
107	TheShyPig	192
108	Werbe	191
109	Apollo_993	190
110	Jovaphobic	187
111	catandmoose	186
112	Merv__	183
113	PortlyPete69	182
114	Zaridey	180
115	FelixPSY375	177
116	TheSecondLord	174
116	CollinMH06	174
118	TechnoNinja64	171
119	Powowowow	170
120	NinjaKnifeKill	169
120	1442	169
122	TheDankPlatypus	167
123	Onennon	165
124	Iamthejo	163
125	Deodorante	157
126	Mahoose	155
127	luseis	154
127	yatsuta	154
127	tsitrawhy	154
130	Krowuss	152
131	djancak	146
132	The_slideV3	137
133	ConnorDanky_	132
134	FreakGenius	127
135	__tomato	125
136	Da_Boss_Rani	123
136	fffMike	123
138	T045RTY	122
139	jnp_gaming	116
140	Inchef	115
140	Boipl	115
142	Eraxa	110
143	Jimb0nat0r	107
144	Spenduh	102
145	ECstardust	101
146	mwrty	96
147	sandmire	93
148	excelsionprime	91
149	Flapjacker687	85
150	2Stout	82
150	DarlaMeow	82
152	Cryptacity	80
153	crashomon	79
154	Blackberry1310	78
155	bigstankyy	76
156	Creativebuilder2	68
156	Winklepicker279	68
158	SvenskaHugo	66
159	PazinGaming	65
159	Incinere	65
159	xxPipperDipperxx	65
162	6king6colt6	62
163	Malorn_Aetherius	59
163	fragrantmonke444	59
165	iSammael	58
166	Hahaa_0	57
167	Kynigito	55
168	F_Uhre	54
169	ssleepless	52
169	Nicky_H225	52
169	ApophisNova	52
169	CalebDHawk	52
169	MyNamaSheff	52
174	NatalieTW	51
175	Huwulling	47
175	MinttyFressh	47
175	Akoot_	47
178	Skomo	46
179	Skylord_Luke	45
180	Mr_Froxy	44
181	paranoid_plant	43
182	j5ylim	42
183	_TCARREIRA_	41
184	I_Am_Mushkin	40
185	Fizznut909	39
186	Groovy_MoonBird	37
186	SmashingPump	37
186	SingedBread	37
189	Touched_Bread	36
189	whoaluv	36
191	shadowthemonkey	35
192	Vensterbankje	34
192	jcool7	34
194	CLG_Kata	33
194	Gus2005	33
196	Sral7	32
197	akap47	31
197	Hetti301	31
197	BartekB19	31
197	Kijiki	31
197	BeardBois	31
202	_Karmaa	30
202	Kyrum2169	30
204	monky_irl	29
204	voiding_	29
206	Bandito_Roamer	28
206	livingdaydreams	28
206	Racengan	28
209	nstuartwilliams1	26
210	fkGrim	23
211	LittleBug562	22
211	Guillemet	22
211	ARandomHedge	22
211	Factoroni	22
211	robotemo	22
216	DarkDescent2392	21
216	emrekn	21
218	legal_tax_evader	19
218	Rocco_Lane	19
220	MrKrabOnCoke	17
220	surfinggiraffejp	17
220	DarkS0L	17
223	stavgod	15
224	RebelAndroid	14
224	Shogunite	14
224	Steelynan	14
227	Notta	13
227	_Mythic____	13
229	QuiCreans	11
230	Historical_Sand	10
231	_Virify_	9
231	Russiancat1	9
231	Njensen7	9
234	XboxPanda	8
234	WET_WET_WET	8
236	Presisor	7
237	olliebollie48	6
237	EveryonesUncle	6
237	Nicserso	6
240	hm947	5
240	kekhon	5
242	Paradoxion	3
242	oreee	3
242	titanlax	3
242	Wowful	3
242	Warlord324	3
242	Soplight	3
242	JayToe	3
249	SaucyDark	2
249	lorpus	2
249	Rasmanden	2
249	Leyna3	2
249	ReflexCode	2
249	miramyu	2
255	_Razaria	1
255	Secret_Canary	1
255	redikul	1
255	Zythose	1
255	theofiel	1
255	Nicky19	1
255	Tyrannosplart	1
255	DarkLawD	1
255	Druid95	1
255	MakeHistory157	1
255	pixelviolin	1
