rank	username	minecraft:mined/minecraft:lilac
1	Mahoose	610
2	wwwwinnebagoooo	276
3	beeperbeeper5	175
4	EveryonesUncle	129
5	SpacesickPrism	127
6	CoffeeNoir	100
7	PlasticOtari	88
8	500am	83
9	KeruNatsema	73
10	BlancoFlaco	69
11	_Dean_123	67
12	00000000-0000-0000-0009-01ff0c3e5e4f	66
13	FreakGenius	64
14	pintsizedrogue	61
14	Lez_	61
16	Frozil20	60
17	Smoke____	51
18	Chromary	49
19	thewindmillman	43
20	corvidpartyfor6	42
21	AuroraSkies	40
21	luseis	40
21	xolstoi	40
24	SkateboardR6	39
25	Hyp3rion_	38
25	burbankbuilder28	38
25	Eraxa	38
28	TheEnderMan548	36
28	kyouma777	36
28	jnp_gaming	36
31	finbob5	35
31	underscore_2	35
33	GlitchyPlate810	34
34	TheSecondLord	30
34	SoftSix	30
34	Spacewardharpy7	30
37	kekhon	29
37	Akoot_	29
39	r123moore	28
40	Khelvoryk	27
40	AltnumberF4	27
42	Arceus1975	26
42	_JrTurtle_	26
42	Kowcio_	26
45	Blackberry1310	25
46	Dumkii	24
46	joethahobo	24
46	orxngejuice	24
49	lordpipe	23
49	Jimb0nat0r	23
51	Windo_licker	21
52	PigDab	20
52	RadarHz	20
54	PazinGaming	19
54	eitanzaki	19
56	Inchef	18
56	Xalithia	18
56	YahooScreen9000	18
56	Racengan	18
56	EtherealEspresso	18
61	purpolepickle	17
61	Skylord_Luke	17
61	HyperCave	17
61	Deathkob	17
61	RoofTyler	17
61	OffWithTheirHead	17
67	_stets	16
67	Mimiir345	16
67	Kakolbus	16
70	sadvavilloso	15
70	EngagedGrub41	15
72	EMC_	14
72	_Boipl_	14
72	Blaiku	14
72	MirielThePastor	14
76	VG_RDF	13
76	Esme_1	13
76	jacxhadow	13
76	set67	13
76	MinuteMira	13
76	Lutres_Torane	13
76	Enderxz3	13
83	hm947	12
83	Scathra	12
83	LeauVox4921	12
83	Winklepicker279	12
83	Armattillo	12
83	Moofyman	12
83	ConnorDanky_	12
90	Wotters7	11
90	zStriqe	11
90	lillips	11
90	Quotary	11
94	Rebytre	10
94	FishyBoy3811	10
96	Huwulling	9
96	Dali1465	9
96	Lord_Jord	9
96	monky_irl	9
96	mercum	9
101	JohnnyFyes	8
101	Kochnuudel	8
101	xxPipperDipperxx	8
101	Kubelz	8
101	0nly_sn1per	8
101	dezxalo	8
101	Toasty_Tom	8
101	satuern	8
109	chipklip	7
109	Ev0luti0nz	7
109	ExtraDumb	7
109	eclipseboi	7
109	SuperPooch06	7
109	Silvo614	7
109	ApophisNova	7
109	NomadicRobin_	7
109	NoChumpChange	7
109	fluddd	7
109	halfbakedlasagna	7
109	Dusk_95	7
109	MyNamaSheff	7
109	Freedrik	7
123	Tommhh	6
123	l1dkv	6
123	bloodbiter	6
123	lorpus	6
123	gcaisawesome	6
123	Di_infiri	6
123	Jackattack53	6
123	LAVA129	6
123	masskedman	6
123	MyNameIsDakar	6
123	DarlaMeow	6
123	somegirl12_	6
123	Ezekson	6
123	Legendosh	6
137	Prismyst	5
137	noam464	5
137	breadbowlgamer	5
137	KartivGal	5
137	Zielo2017PL	5
137	Wowful	5
137	The_Quack_Dealer	5
137	_Tilariel_	5
137	YungMaki	5
137	jaimshae	5
137	EcksD	5
137	RareDankMemeFrog	5
149	Slinkyy7071	4
149	tuckerdoodle	4
149	Myszoaz	4
149	titanlax	4
149	BobDeBouwer1337	4
149	Awyrlas	4
149	PeteO1995	4
149	Polar6767	4
149	MaGro2010	4
149	Mattesco	4
149	Kokeech	4
149	magmaniacmc	4
149	TheAlmightyMoist	4
149	djancak	4
149	__tomato	4
149	infiniteQuery	4
149	fffMike	4
149	guccipucci_	4
149	Hermanni__	4
149	mobunni	4
149	bladeefan2009	4
149	Biites	4
171	_Huge_Male_	3
171	Gundam_Steven	3
171	Myrlewen	3
171	Historical_Sand	3
171	SquadMonster	3
171	rarrq	3
171	Crowman1	3
171	SteveCraftBlocks	3
171	Enigma0251	3
171	crispylegumes	3
171	PegLegPete93	3
171	HAIRYCLOUD626	3
171	Elastiq	3
171	Bl1tzFX	3
171	Mr_Gulle	3
171	Optiprimus	3
171	RealGroot	3
171	gusstationwerker	3
171	obzii	3
171	diggydog67	3
191	SugarMyNuggets	2
191	Rx5	2
191	FazeObama69	2
191	BenHomie	2
191	Merv__	2
191	neurotic_a	2
191	diamondgolem35	2
191	ImpavidArcher	2
191	Wooptey	2
191	RebelAndroid	2
191	T045RTY	2
191	Ironmine12	2
191	WarHammer3	2
191	NinjaKnifeKill	2
191	ITDV	2
191	IWorkAtIkea	2
191	Stright_	2
191	ATrojansLegend	2
191	Auseawesome	2
191	Fullut	2
191	Raxmalor	2
191	fade_emerge78823	2
191	Ithaca19	2
191	Yuvl	2
191	XboxPanda	2
191	mimbo1211	2
191	funnyblitz123	2
191	Typkazprahe	2
191	moderncraft	2
191	Norrhede	2
191	Rocco_Lane	2
191	SvenskaSara	2
191	TheWildMateo	2
191	LeGold	2
191	Its_Risk	2
191	TheTrueClipse	2
191	olmul	2
191	Kennyissleepy	2
191	Gryglu583	2
191	XxCookiequeenxX	2
191	Syropatathe	2
191	HellsSponge	2
191	weabis	2
191	GoofySilly	2
191	Arlosaurus	2
191	Bonzaidalek	2
191	Morphowolf	2
191	ItsDeltaMC	2
191	ZK69	2
191	Mythic1130	2
191	Kekoo	2
191	Poppy235	2
191	saltypear500	2
191	cichy096	2
191	JustinRee	2
191	CrazyPotater	2
247	Krasnal1337	1
247	Gu_Yue_Fang_Yuan	1
247	NatalieTW	1
247	CannedBeans007	1
247	Polucien	1
247	fanofbands101	1
247	awesomeweasel	1
247	soundad	1
247	q_wq	1
247	6king6colt6	1
247	Raidor	1
247	TripleAThreat	1
247	Killercatty78	1
247	Hpdinosaur	1
247	Flores991	1
247	Furiuosbeast0404	1
247	Incinere	1
247	Rasaq	1
247	Batman922	1
247	Z22n	1
247	Swexti	1
247	TheMaster972	1
247	QuiCreans	1
247	Koffeeinz	1
247	DeezPeanuts28	1
247	Tsuki95	1
247	m_be9	1
247	TheThomas69	1
247	Pelbo	1
247	TerraVl	1
247	Z3braYTIL	1
247	Motsaro	1
247	NotTrixi	1
247	Billeison	1
247	ROY4LE	1
247	theonlymagikarp	1
247	Covalents	1
247	LitoDelvito	1
247	Stay2Blackjesus	1
247	Gamergirl420628	1
247	TheDankPlatypus	1
247	M_Patata	1
247	Marbz_	1
247	bonzaai	1
247	Lil_Breadboy	1
247	xambsam	1
247	hanaryheatwave	1
247	Genghis_khan	1
247	jordanchohat	1
247	That3AMWater	1
247	WhosJPG	1
247	Werbe	1
247	bee_gorl	1
247	F_Uhre	1
