rank	username	minecraft:mined/minecraft:green_banner
1	k_ce	42
2	joethahobo	22
3	Historical_Sand	18
4	UCP_TheKingK	11
5	Kakolbus	6
6	Lez_	5
7	Mahoose	4
7	Xclax101	4
7	lordpipe	4
7	SvenskaHugo	4
11	Mr_Byzantine	3
11	eitanzaki	3
11	Werbe	3
11	luseis	3
11	HellsSponge	3
16	beeperbeeper5	2
16	Blackberry1310	2
16	Kondzik2008	2
16	Skylord_Luke	2
16	ScootOfBoot	2
16	LeGold	2
16	Blaiku	2
23	Merv__	1
23	ECstardust	1
23	itburb	1
23	hm947	1
23	RatatJuice	1
23	T045RTY	1
23	Huwulling	1
23	m_be9	1
23	ProfessorBee	1
23	_Dean_123	1
23	KingEgg1	1
23	toj__	1
23	Mattesco	1
23	AlexxO_o	1
23	StinkyDiplomat	1
23	Spacewardharpy7	1
23	Druid95	1
23	StarCookiees_	1
23	Eraxa	1
23	pixelviolin	1
23	Kowcio_	1
23	SammiWolfGirl	1
23	Legendosh	1
