rank	username	minecraft:mined/minecraft:exposed_cut_copper_stairs
1	SpacesickPrism	61
2	Enderxz3	28
3	Kowcio_	27
4	MattieHD	24
5	EMC_	12
6	hanaryheatwave	9
7	skroobiez	6
8	beeperbeeper5	5
8	luseis	5
10	Mr_Byzantine	2
10	thewindmillman	2
10	XxCookiequeenxX	2
10	pixelviolin	2
14	bl1ss0	1
14	Jonafrog99	1
14	Lutres_	1
14	Jimb0nat0r	1
14	LuvLuvLove	1
