rank	username	minecraft:mined/minecraft:yellow_concrete
1	Xclax101	3111
2	beeperbeeper5	2182
3	LeauVox4921	2162
4	MattieHD	1793
5	h2p_emrld	1586
6	Nicserso	1509
7	Hoid_the_Roamer	1433
8	lordpipe	1429
9	Spacewardharpy7	1069
10	alderban107	1025
11	MousePlays	992
12	lillips	868
13	IAmTheWalrus910	862
14	TheSecondLord	744
15	500am	606
16	Kowcio_	601
17	Merv__	600
18	Mattesco	559
19	noam464	555
20	Snowflowe	549
21	YungMaki	495
22	TheWildMateo	459
23	sp00ky_ghost977	454
24	HyperCave	452
25	_Huge_Male_	323
26	ImpavidArcher	306
27	Legendosh	300
28	ROY4LE	275
29	lcvezra	271
30	stellarjay	260
31	Optiprimus	247
32	pintsizedrogue	234
33	weabis	232
34	Jimb0nat0r	231
35	AdmiralSmoke	222
36	MakeHistory157	220
37	Swexti	218
38	jnp_gaming	210
39	Notta	203
40	HellsSponge	200
41	CornOnTheCobalt	195
42	ConnorDanky_	191
43	Deathkob	184
44	Rebytre	183
45	Inchef	181
46	Sheldor097	153
47	Blackberry1310	149
48	Jackattack53	147
49	Klerick	146
50	Kim_Jong_eel	128
51	PlasticOtari	127
52	Frozil20	108
53	tartanboy	103
54	Jonafrog99	102
55	Gryglu583	100
56	joethahobo	93
57	Onennon	92
58	Lez_	89
59	PortlyPete69	83
60	Skippeh	79
61	Fullut	78
62	Ze_BaronKrigler	75
63	Soplight	68
64	Biites	65
65	RoskobiOne	64
65	kekhon	64
67	thescout7	56
68	stavgod	49
69	UCP_TheKingK	48
70	DadWorksForSega	47
71	eitanzaki	46
72	StanceTB	38
73	Mr_Byzantine	33
73	Hiryu27	33
75	Crowman1	32
76	Truckoss	30
76	Elastiq	30
78	thewindmillman	29
79	k_ce	26
80	xxPipperDipperxx	25
81	ShedJr_	21
82	theonlymagikarp	20
83	TechnoNinja64	19
84	Manaateee	17
85	teslawolf38	16
85	oreee	16
87	6king6colt6	15
87	luseis	15
87	StinkyDiplomat	15
90	Arceus1975	10
90	fluddd	10
90	BlankityMcBlank	10
93	AuroraValkyrie	9
93	noodlepack	9
95	Groundler	8
95	ZoomieZoomie	8
97	SammiWolfGirl	7
98	Lunkuku	6
98	Weepingbiel	6
100	_Bguette_	5
100	Steelynan	5
102	Blaiku	4
102	EcksD	4
104	obzii	3
105	TheBiggestFeller	2
105	PazinGaming	2
105	Historical_Sand	2
105	Smashic	2
105	KingEgg1	2
105	oscminus	2
105	Akoot_	2
105	LeonelSalamanca	2
105	LexMakesHistory	2
105	claivin	2
105	LordSpeed37	2
105	SvenskaHugo	2
105	pixelviolin	2
118	jessewegottacook	1
118	rarrq	1
118	catandmoose	1
118	pr33tu	1
118	mwrty	1
118	k1ngGilgamesh	1
118	PigDab	1
118	Inbefour	1
118	ese_wn_po	1
118	EveryonesUncle	1
118	Blu3beast	1
118	the__Reaper4999	1
118	WyngGoy	1
118	Quotary	1
118	sea_otter_h	1
