rank	username	minecraft:mined/minecraft:potted_red_tulip
1	Blackberry1310	6
2	pintsizedrogue	4
2	Akoot_	4
4	Mahoose	3
4	corvidpartyfor6	3
4	Marbz_	3
4	TheShyPig	3
4	Avocadogerms	3
9	KarlKaek	2
9	2Stout	2
9	xxPipperDipperxx	2
9	Rumpletaezer	2
9	MAns_44	2
9	El_Jalapeno	2
9	Spacewardharpy7	2
9	PlasticOtari	2
17	Merv__	1
17	6king6colt6	1
17	SaucyDark	1
17	hm947	1
17	Reamdin	1
17	jessewegottacook	1
17	_Dean_123	1
17	500am	1
17	LeauVox4921	1
17	Krowuss	1
17	Onennon	1
17	Druid95	1
17	MakeHistory157	1
17	lcvezra	1
17	xolstoi	1
