rank	username	minecraft:mined/minecraft:emerald_ore
1	pintsizedrogue	319
2	Fullut	164
3	Inbefour	163
4	joethahobo	162
5	TheSecondLord	161
6	500am	129
7	Skippeh	123
8	YungMaki	118
9	beeperbeeper5	116
10	TheShyPig	107
11	thewindmillman	98
11	Hyp3rion_	98
13	alderban107	89
14	EMC_	82
14	Spacewardharpy7	82
16	EcksD	80
17	claivin	73
18	fluddd	72
19	Werbe	70
20	q_wq	68
21	Shogunite	64
21	Cocoamallows	64
21	RadarHz	64
24	fffMike	60
25	ivorico	59
25	Nicserso	59
27	Di_infiri	58
28	pappaberg	57
29	SingedBread	56
30	eitanzaki	54
31	Cowison	53
31	6king6colt6	53
31	H72l9w	53
34	h2p_emrld	51
35	Enderslayerxz3	50
35	FallenCorps	50
37	jacxhadow	48
38	TheThomas69	47
39	Flores991	45
39	Frozil12	45
39	Spenduh	45
42	Kowcio_	43
43	MakeHistory157	40
44	Paint	39
45	ApophisNova	38
45	ClemenPine	38
45	Typadopoulos	38
45	MyNamaSheff	38
49	Comma__	37
49	The11thDoctor	37
49	ooga47	37
52	PhantomsGhost_	36
52	sebastiensaborio	36
54	theonlymagikarp	35
54	cytotoxaint	35
56	G1ldor	34
56	Soap_Bender	34
56	HellsSponge	34
56	MilleGrug	34
60	benediktine1	33
60	Skylord_Luke	33
60	TheOuterCore	33
60	UrbanPlanner1978	33
64	PigDab	32
64	KnightmareD	32
64	MAns_44	32
64	FishisTTV	32
68	HollieDaNugget	30
68	RedcatVII	30
68	trexgb	30
71	SpaceGrenadier	29
71	FirsTimeGamingTV	29
71	bloodbiter	29
71	_Yonk_	29
75	Windo_licker	28
75	bloomkieren	28
77	Houstonion	27
78	Bandito_Roamer	26
78	SaucyDark	26
78	Hanselhoof	26
78	Winklepicker279	26
78	Xclax101	26
83	UncreativeArtist	25
83	Ecplosive	25
83	wezzzi	25
83	chipklip	25
83	Smoke____	25
88	XboxPanda	24
88	The_Quack_Dealer	24
88	GlitchyPlate810	24
88	amkold	24
92	Historical_Sand	23
92	Zaridey	23
92	Hoid_the_Roamer	23
92	_naturell	23
92	PortlyPete69	23
97	livingdaydreams	22
98	ColeSnyder	21
98	MangoTheFish	21
100	Toriankel	20
100	starbits140	20
102	XeroByMyth	19
102	Deodorante	19
102	Ze_BaronKrigler	19
102	Njensen7	19
106	CoffeeNoir	18
106	kekhon	18
106	zorin123	18
106	orxngejuice	18
106	Rumpletaezer	18
106	Snowflowe	18
106	DeeDeeThonk	18
106	Karbl	18
106	Blaiku	18
106	Fildyr	18
116	TheBiggestFeller	17
116	Franco093	17
116	Mahoose	17
116	Awyrlas	17
116	Blu3beast	17
116	djancak	17
116	anbbang	17
116	oxfordschool	17
124	Dedalus36	16
124	NinjaKnifeKill	16
124	301851	16
124	_Dean_123	16
124	Jonte0599	16
124	PuFY	16
124	Lord_Jord	16
124	SkateboardR6	16
124	monky_irl	16
124	Soffbord	16
134	Tolhart	15
134	m_be9	15
134	Maenara	15
134	LexMakesHistory	15
134	SirBreadward	15
134	PlasticOtari	15
140	SyK7	14
140	Kegradigm	14
140	Humpcat	14
140	masskedman	14
140	sp00ky_ghost977	14
140	Quotary	14
140	Yogscast_Manden	14
147	Natty	13
