rank	username	minecraft:mined/minecraft:mud
1	Enderxz3	14287
2	YungMaki	1793
3	pixelviolin	1733
4	corvidpartyfor6	1108
5	Merv__	998
6	RoofTyler	889
7	Kowcio_	876
8	PlasticOtari	422
9	Mattesco	409
10	500am	341
11	luseis	340
12	mihimihimihi	324
13	GlitchyPlate810	317
14	pintsizedrogue	237
15	Iamthejo	147
16	MyNameIsDakar	138
17	hanaryheatwave	71
18	Jackattack53	51
19	Huwulling	50
20	EMC_	39
21	jessewegottacook	36
22	T045RTY	33
23	EngagedGrub41	28
24	DinoDoctor_	26
25	MineMaster0012	24
26	thewindmillman	18
26	Jimb0nat0r	18
28	Soplight	17
29	Di_infiri	14
30	Alteriity	13
30	Smoke____	13
32	Rebytre	10
33	SvenskaHugo	8
33	Steelynan	8
35	Da_Boss_Rani	7
35	Elastiq	7
37	diamondgolem35	5
38	Mahoose	4
39	SmashingPump	3
40	QuiCreans	2
40	rarrq	2
40	AlexxO_o	2
40	binman420	2
44	Secret_Canary	1
44	TheDankPlatypus	1
44	Marbz_	1
44	Spacewardharpy7	1
44	ItsDeltaMC	1
