rank	username	minecraft:mined/minecraft:deepslate_gold_ore
1	500am	1939
2	luseis	1449
3	hanaryheatwave	1357
4	pintsizedrogue	1306
5	fade_emerge78823	1255
6	Nicserso	1204
7	corvidpartyfor6	1197
8	excelsionprime	1136
9	TheBananaKat	954
10	PaperCanvas	881
11	Segotep999	796
12	EMC_	775
13	MAns_44	732
14	LeauVox4921	699
15	TheDankPlatypus	533
16	Kowcio_	519
17	Kakolbus	514
18	MattieHD	509
19	PlasticOtari	499
20	Manaateee	485
21	calamariclam_I	480
22	mihimihimihi	468
23	xPixelRainx	461
24	groofles	435
25	non089	434
26	powercas_gamer	369
27	Apollo_993	341
28	lordpipe	331
29	PazinGaming	327
30	SpacesickPrism	324
31	LagVibes	302
32	wwwwinnebagoooo	301
33	H0UNDFRMH3LL	297
34	Iamthejo	285
35	Jimb0nat0r	280
36	shadowthemonkey	273
37	Ryker	269
38	thewindmillman	254
39	RoskobiOne	249
40	Huwulling	248
40	kalzor	248
40	Heisenbberrg	248
43	gcaisawesome	247
44	00000000-0000-0000-0009-01ff0c3e5e4f	246
45	Sleepy_Time_	242
46	poopybh	237
46	coobert42	237
48	Enderxz3	231
49	JitteryJared2	227
50	Marbz_	225
50	Jimi7hits	225
52	Hyp3rion_	219
53	Alteriity	215
54	Creativebuilder2	202
55	Crowman1	200
55	ItsHydroMC	200
57	Werbe	197
58	beeperbeeper5	191
59	dartwaffle	189
60	prizm_	187
61	StarCookiees_	182
61	TheALV	182
63	MuffinManzz	177
64	Lord_Zacler	172
64	SvenskaHugo	172
66	Killercatty78	166
66	ZoomieZoomie	166
68	RebelAndroid	164
68	Lez_	164
68	ARandomHedge	164
71	tsitrawhy	163
72	Moofyman	162
73	Secret_Canary	158
74	shineh10	155
74	MinttyFressh	155
76	Snowflowe	151
77	pixelviolin	148
78	Avocadogerms	146
79	k_ce	145
80	Hahaa_0	144
81	Soplight	142
82	Megarboh	140
83	SkinnyBois	137
84	Paguz01	134
85	Smashic	132
86	Krowuss	130
87	lunathelemon	127
88	EngagedGrub41	126
89	j5ylim	124
89	Dakar_	124
91	QuiCreans	123
91	12Magner05	123
93	Touched_Bread	122
94	ZaneABrain	121
94	Da_Boss_Rani	121
96	iSammael	119
96	YungMaki	119
98	Prismyst	116
98	mobunni	116
100	Njensen7	115
101	GooseWithin	111
101	Lutres_	111
103	Pofen	110
104	fw3xy74	108
105	TAKrules	104
106	Fuad_R	101
106	Vicemaniac	101
106	AdmiralSmoke	101
109	Samificator	99
110	_Dri_	97
111	KGTV	96
112	ZeroAbyssTTV	95
112	The_Fulgurator	95
114	JETrotter	94
114	bearlystraight	94
114	SingedBread	94
117	AstreaTSS	93
118	kidel03	92
118	MustardSquid	92
120	crying_wolf_13	88
121	_Nat666	87
122	jessewegottacook	85
123	Sharkbyte0	84
124	MC_Gamer_Geek	82
125	ATurtle4936	81
126	q_wq	80
126	ITDV	80
126	Raspberry_Sodas	80
126	masskedman	80
130	Mahoose	79
131	TheSecondLord	78
131	BungalowBeet	78
133	zToasty69z	76
134	StinkyDiplomat	75
135	SnowyAvi	73
136	NoHaHeHa	70
137	Ev0luti0nz	69
138	hm947	68
138	Invintic	68
140	NLKBuilder	67
140	Jonafrog99	67
140	Silvo614	67
140	ItsDeltaMC	67
140	KujikawaRisechi	67
145	Sandiotchi	66
145	UMosDiesIrae	66
147	AuroraSkies	64
147	shrimp_flips	64
149	nopekk	63
149	DadWorksForSega	63
149	Lord_Doob	63
152	SOA1RR	62
152	Toriankel	62
154	Mr_Byzantine	60
154	Tiktola01	60
154	alanbleachdemon	60
154	AltnumberF4	60
158	tuckerdoodle	59
158	catandmoose	59
160	KingEgg1	57
160	oscminus	57
162	lorywithay	55
162	CowOfTheNile	55
162	infiniteQuery	55
165	Masssonnn	53
165	xKool	53
167	Kubelz	52
167	WigglyMustard	52
169	TruestTurnip	50
170	NotRemets	48
170	Wowful	48
172	Ghemmah	47
173	kyouma777	46
174	noam464	45
174	EveryonesUncle	45
176	ActualPatbaf	44
176	Sniper008	44
178	HoltGrim	43
178	floodjon	43
178	Nadhorion	43
181	joethahobo	42
181	Alfred603	42
181	mrnosetackle	42
181	R1CHY2K	42
181	TJawesome09	42
181	ConJaBz	42
187	Dblikstad	41
187	ccwildfire1	41
187	Jackattack53	41
187	nut_e	41
191	chrolus	40
191	Cellcorgi649	40
191	Mattesco	40
194	ShedJr_	39
194	DabKeepaBlicky	39
194	Steve897	39
194	WildTamara	39
198	Steelynan	38
198	FormulaNewt3627	38
200	Groovy_MoonBird	37
200	AlexxO_o	37
200	Sorry_Arey	37
200	Trioxide	37
200	Ezekson	37
205	SvenskaAlvar	36
205	Spenduh	36
205	NATE_the_HALO	36
208	Gemstuff	35
208	MoonWatcher19	35
208	PhantomBionic	35
208	TheWildMateo	35
208	Elastiq	35
208	DanTheBuilderino	35
214	Mookle96	34
214	FadedSpade82	34
216	ScootOfBoot	33
216	Yahir091	33
218	rarrq	32
218	cubecutter124	32
218	Reneedium	32
218	underscore_2	32
222	Sheldor097	30
223	RatatJuice	29
223	EtherealSilveon	29
225	diamondgolem35	28
225	imcombxt	28
225	Skylord_Luke	28
225	Hail_the_wombat	28
225	MrQuanQuan	28
230	smarticuno	27
230	H_O_M_H	27
232	SyntheticSurgeon	26
232	ChampPog_	26
232	MineMaster0012	26
232	LeEricc	26
232	KeterComet	26
232	Legendosh	26
238	thebaddruid	25
238	Zackran	25
238	WeebleSock	25
238	AshleySpiritHawk	25
238	athereall	25
243	Glowhetic	24
243	Rebytre	24
243	Veillax135	24
243	bagel980	24
247	Luminad3	23
247	LeonelSalamanca	23
247	PixelatedBoss	23
247	Aryamanee	23
247	YuenKei	23
252	Blackberry1310	22
252	Racengan	22
252	Vegvisir	22
252	CattSoup	22
256	Miroryk	21
256	dawerty	21
256	THEKINGLyric10	21
256	Hermanni__	21
256	Rexorout	21
261	BPTY4618	20
261	Enigma0251	20
261	corpsecity	20
261	youarefrench_	20
261	Weepingbiel	20
261	WYFYoyo	20
267	CLG_Kata	19
267	dimondking777	19
267	Pearlplatinum	19
267	T045RTY	19
267	breadbowlgamer	19
267	longappendage	19
267	Malware_Mara	19
267	Dan_Scha	19
267	EcksD	19
276	MogusBussy69	18
276	JuuustYeet	18
276	Xalithia	18
276	Defaitiste	18
276	Winklepicker279	18
276	MinuteMira	18
276	MNMann44	18
276	satuern	18
284	I_Moose	17
284	BronkerBrum	17
284	xolstoi	17
287	teslawolf38	16
287	ApophisNova	16
287	LeGold	16
287	ZeroKraken	16
287	MyNamaSheff	16
292	ECstardust	15
292	Btabtab	15
292	Kekoo	15
295	Flores991	14
