rank	username	minecraft:mined/minecraft:sandstone
273	Hiryu27	241
273	JESS_THE_RERE	241
273	Kowcio_	241
276	DC_XII	240
277	QuakerOatsGod	233
277	Comma__	233
279	titanlax	232
280	Frnjokl	228
281	ShedJr_	225
282	IdeallyGrey	222
283	NotoriousNina	219
284	Testificate_517	215
285	Jiminie	214
286	CueMix	210
287	lcvezra	208
288	FallenCorps	207
289	Juh1s	205
289	h2p_emrld	205
291	301851	200
292	Kamflame10	194
293	H72l9w	188
294	Elprone266	187
295	560cool	183
296	Notta	177
296	TheEnderman548	177
298	ssleepless	176
298	slkiey	176
300	_naturell	174
