rank	username	minecraft:mined/minecraft:potted_fern
1	Blackberry1310	16
2	Mahoose	14
3	SammiWolfGirl	12
4	Merv__	5
4	PlasticOtari	5
6	FreakGenius	4
6	sp00ky_ghost977	4
8	pintsizedrogue	3
8	Alteriity	3
8	kekhon	3
8	Krowuss	3
8	TheKingK_	3
8	Yamdalorian	3
14	RoskobiOne	2
14	KarlKaek	2
14	Lez_	2
14	titanlax	2
14	SuperPooch06	2
14	Chromary	2
14	burbankbuilder28	2
14	wezzzi	2
14	XxCookiequeenxX	2
14	Steelynan	2
24	beeperbeeper5	1
24	rarrq	1
24	LoboTheLobster	1
24	Sleepy_Evelyn	1
24	Timfinity4	1
24	set67	1
24	JahsehFace	1
24	TheShyPig	1
24	luseis	1
24	StarCookiees_	1
24	Eraxa	1
24	Eczbek	1
24	Ezekson	1
24	KamFurnace	1
24	Enderxz3	1
