rank	username	minecraft:mined/minecraft:orange_concrete_powder
1	mwrty	414
2	Mahoose	105
3	Steelynan	101
4	ROY4LE	97
5	TechnoNinja64	62
6	Fullut	54
6	GravitySaint	54
8	pintsizedrogue	49
9	beeperbeeper5	46
10	SteveCraftBlocks	32
11	Arceus1975	31
12	_Dean_123	29
12	TheShyPig	29
14	T045RTY	28
15	ApophisNova	25
15	MyNamaSheff	25
17	Eraxa	21
18	rarrq	17
18	The_slideV3	17
20	2Stout	15
20	fr_ser	15
22	ImpavidArcher	14
22	MakeHistory157	14
22	Smoke____	14
25	Werbe	13
26	diamondgolem35	12
27	Incinere	11
27	r123moore	11
29	bloodbiter	9
30	PlasticOtari	8
31	CoffeeNoir	7
31	Blackberry1310	7
31	MattieHD	7
31	Itz_DuongVN	7
31	the_russell1611	7
31	Blaiku	7
31	The_SlideV5	7
38	Frozil20	6
38	HellsSponge	6
40	StanceTB	5
40	Zythose	5
40	lordpipe	5
40	Sral7	5
44	Smashic	4
44	xxPipperDipperxx	4
44	IAmTheWalrus910	4
44	YungMaki	4
48	oreee	3
48	Notta	3
48	WWWWMWWWWWWWWWWW	3
48	noam464	3
48	CalebDHawk	3
48	Sheldor097	3
54	catandmoose	2
54	Mattesco	2
54	binman420	2
54	Katthaj	2
54	UCP_TheKingK	2
54	SammiWolfGirl	2
54	Hermanni__	2
54	EcksD	2
54	jnp_gaming	2
54	bladeefan2009	2
64	Merv__	1
64	AuroraValkyrie	1
64	6king6colt6	1
64	Sabby65	1
64	eitanzaki	1
64	Huwulling	1
64	ShedJr_	1
64	301851	1
64	clamt	1
64	Hiryu27	1
64	Ximid	1
64	luseis	1
64	_Bguette_	1
64	lillips	1
64	claivin	1
64	OG_Songsee	1
64	carbo_bro	1
64	SSytex_X	1
64	KingMatthew506	1
64	ConnorDanky_	1
64	Jimb0nat0r	1
64	Zoeyfortnite	1
64	h2p_emrld	1
