rank	username	minecraft:mined/minecraft:potted_oxeye_daisy
1	Mahoose	17
2	TheShyPig	9
3	Blackberry1310	5
3	GingerNeutron	5
5	Ryan_GEMS	4
5	corvidpartyfor6	4
5	Nicserso	4
8	KarlKaek	3
8	EveryonesUncle	3
8	MAns_44	3
11	AuroraValkyrie	2
11	SlowMoNinja1994	2
11	500am	2
11	r123moore	2
11	TableTim	2
11	JETrotter	2
11	grislgrobl	2
11	Tyrannosplart	2
11	HellsSponge	2
11	Avocadogerms	2
11	WyngGoy	2
11	Soplight	2
11	Enderxz3	2
11	Kateesaur	2
25	pintsizedrogue	1
25	Tobinator_007	1
25	CLG_Kata	1
25	SaucyDark	1
25	eitanzaki	1
25	jimintyy	1
25	CoffeeNoir	1
25	Prismyst	1
25	Lez_	1
25	featherflyy	1
25	roxycherry	1
25	shdesolt	1
25	Sleepy_Evelyn	1
25	orxngejuice	1
25	intropass	1
25	2Stout	1
25	fallingemma	1
25	Marbz_	1
25	Di_infiri	1
25	Reneedium	1
25	EdGalbraith	1
25	XxCookiequeenxX	1
25	ese_wn_po	1
25	luseis	1
25	Dakar_	1
25	Druid95	1
25	Myntsys	1
25	sp00ky_ghost977	1
25	Kowcio_	1
25	Celeste_121	1
25	CalebDHawk	1
25	Skippeh	1
25	Legendosh	1
25	MrMeisterProper	1
25	Oxygen16	1
25	skitzxo	1
