rank	username	minecraft:mined/minecraft:stone
263	GoofyBread	33754
264	Powowowow	33702
265	Flapjacker687	33700
266	benediktine1	33631
267	Rebytre	33370
268	TheDankPlatypus	33214
269	ogoa	33036
270	Winston_Ingram	32812
271	valkam13	32780
272	wwwwinnebagoooo	32630
273	BlankityMcBlank	32508
274	The_Quack_Dealer	32253
275	lorpus	32192
276	Elastiq	32040
277	SquadMonster	32025
278	Sheldor097	31886
279	AltnumberF4	31838
280	Ssor69	31803
281	stavgod	31639
282	tuckerdoodle	31259
283	Ecplosive	31175
284	Xalithia	30878
285	skrongus	30570
286	_8man	30565
287	eiC_	30097
288	surfinggiraffejp	30080
289	drumine	29869
290	Toriankel	29661
291	chipklip	29597
292	ExtraDumb	29561
293	SyntheticSurgeon	29536
294	wezzzi	28991
295	Nycteus_	28902
296	jessewegottacook	28880
297	CrateOfBoxes	28782
298	Wolverine4302	28700
299	XHectorSalamanca	28671
300	ShedJr_	28399
