rank	username	minecraft:mined/minecraft:potted_dandelion
1	beeperbeeper5	5
1	Blackberry1310	5
1	WyngGoy	5
4	KarlKaek	3
4	corvidpartyfor6	3
4	r123moore	3
4	J4ko8_	3
4	TheShyPig	3
4	Xclax101	3
4	PlasticOtari	3
11	SugarMyNuggets	2
11	FazeObama69	2
11	SaucyDark	2
11	TheSecondLord	2
11	fallingemma	2
11	Di_infiri	2
11	AJplaysMC_	2
11	Hoid_the_Roamer	2
11	FreakGenius	2
11	MakeHistory157	2
11	ThisUserIsStump	2
11	Steelynan	2
11	Kubeusz2010	2
11	xorompole	2
25	NatalieTW	1
25	PhantomsGhost_	1
25	Esme_1	1
25	Natty	1
25	Ao_Ken	1
25	Swexti	1
25	Ardennes	1
25	Cortexia	1
25	_Dean_123	1
25	Smashic	1
25	lorpus	1
25	Inchef	1
25	xxPipperDipperxx	1
25	Stiar	1
25	olliebollie48	1
25	HoltGrim	1
25	DermeinUser	1
25	TableTim	1
25	prizm_	1
25	SuperPooch06	1
25	Chromary	1
25	Reytoad	1
25	Akoot_	1
25	Lord_Zacler	1
25	EveryonesUncle	1
25	HellsSponge	1
25	MAns_44	1
25	RedcatVII	1
25	Toriankel	1
25	Dusk_95	1
25	Eraxa	1
25	tsitrawhy	1
25	lcvezra	1
25	Quotary	1
25	cichy096	1
