rank	username	minecraft:mined/minecraft:water_cauldron
1	Enderslayerxz3	324
2	noam464	43
3	Hyp3rion_	38
4	Lord_Jord	26
5	KingEgg1	21
5	PlasticOtari	21
7	pintsizedrogue	15
8	EveryonesUncle	11
9	ImpavidArcher	9
10	EMC_	8
11	500am	7
12	hm947	6
12	El_Jalapeno	6
12	kinas45y5	6
15	thewindmillman	5
15	yulgur1	5
15	SvenskaHugo	5
18	dimondking777	4
18	Enigma0251	4
18	Skylord_Luke	4
18	fluddd	4
18	IdeallyGrey	4
18	Kowcio_	4
18	GlitchyPlate810	4
25	Drlzyy	3
25	SlayerCrypto	3
25	Joestra	3
28	diamondgolem35	2
28	12Magner05	2
28	Kubelz	2
28	fw3xywashere	2
28	fffMike	2
28	Ezekson	2
28	WYFYoyo	2
28	Smoke____	2
36	Groovy_MoonBird	1
36	KarlKaek	1
36	MSK__	1
36	beeperbeeper5	1
36	YungJakobo	1
36	_Dean_123	1
36	Inchef	1
36	Kakolbus	1
36	breadbowlgamer	1
36	Winklepicker279	1
36	seramalen	1
36	Jiminie	1
36	Lutres_Torane	1
36	MyNameIsDakar	1
36	MAns_44	1
36	Freak_Genius	1
36	Spacewardharpy7	1
36	Ze_BaronKrigler	1
36	TheEnderman548	1
36	pixelviolin	1
36	MineMaster0012	1
36	Soplight	1
36	Spenduh	1
36	Miko_Fullbuster	1
