rank	username	minecraft:mined/minecraft:potted_mangrove_propagule
1	Yamdalorian	25
2	Mahoose	4
3	nattybears	3
4	KarlKaek	2
4	Kakolbus	2
6	Lez_	1
6	skroobiez	1
6	MattieHD	1
6	Manaateee	1
