rank	username	minecraft:mined/minecraft:mangrove_sign
1	pintsizedrogue	10
2	hanaryheatwave	9
3	Mahoose	2
3	luseis	2
3	lordpipe	2
3	Enderxz3	2
3	PlasticOtari	2
8	Mr_Byzantine	1
8	Mattesco	1
8	RealGroot	1
8	Smoke____	1
