rank	username	minecraft:mined/minecraft:pitcher_plant
1	MAns_44	37
2	Buuck_	18
3	oscminus	13
4	Lez_	7
5	EveryonesUncle	6
5	Kowcio_	6
5	Enderxz3	6
8	Fullut	5
8	Krowuss	5
10	k_ce	4
10	CLG_Kata	4
10	Merv__	4
10	luseis	4
10	Steelynan	4
10	skitzxo	4
16	j5ylim	3
16	Secret_Canary	3
16	Pumpkin_P_Patch	3
19	pintsizedrogue	2
19	ECstardust	2
19	ZaneABrain	2
19	Lazy_geniusig	2
19	Huwulling	2
19	Archsam	2
19	beeperbeeper5	2
19	Jackattack53	2
19	Hyp3rion_	2
19	XxCookiequeenxX	2
19	lordpipe	2
30	_Huge_Male_	1
30	TooPure2	1
30	PazinGaming	1
30	myaccountwasgone	1
30	eitanzaki	1
30	Alteriity	1
30	SteveCraftBlocks	1
30	Smashic	1
30	CosmicStardustt	1
30	lunkuku	1
30	Jimb0nat0r	1
