rank	username	minecraft:mined/minecraft:dripstone_block
1	Mattesco	3684
2	pintsizedrogue	2695
3	TheSecondLord	1965
4	noam464	1822
5	AdmiralSmoke	1600
6	Manaateee	990
7	Enderxz3	939
8	PlasticOtari	892
9	EcksD	869
10	Kowcio_	690
11	500am	650
12	Kakolbus	610
13	thewindmillman	566
14	AlexxO_o	495
15	Fuad_R	465
16	j5ylim	464
17	corvidpartyfor6	444
18	Steelynan	405
19	non089	401
20	TheDankPlatypus	370
21	Snowflowe	344
22	Mahoose	339
23	Flores991	338
24	Solar_Power	330
25	TheEnderMan548	297
26	Kubelz	287
27	00000000-0000-0000-0009-01ff0c3e5e4f	284
28	beeperbeeper5	260
29	RebelAndroid	258
30	mihimihimihi	247
31	k_ce	239
32	MAns_44	232
33	Mr_Byzantine	213
34	PaperCanvas	199
35	_stets	198
36	RoskobiOne	149
37	SquadMonster	146
38	MineMaster0012	144
39	EMC_	139
40	Alteriity	136
41	No_Bena	128
42	SingedBread	127
42	Segotep999	127
44	YungMaki	125
45	Jimb0nat0r	124
46	Lez_	123
47	Spacewardharpy7	121
48	Huwulling	115
49	_Huge_Male_	96
50	pixelviolin	91
51	HolyVenom	90
51	Lord_Zacler	90
53	Di_infiri	88
54	excelsionprime	84
55	Marbz_	82
56	TheBananaKat	80
57	HoltGrim	79
58	ECstardust	75
59	thebaddruid	74
60	Enigma0251	72
61	Silvo614	59
62	EveryonesUncle	56
63	longappendage	52
64	QuiCreans	51
64	UCP_TheKingK	51
66	Invintic	49
67	IgnoredBee	43
68	Inchef	42
69	diamondgolem35	41
69	luseis	41
69	StinkyDiplomat	41
72	SuperPooch06	38
73	Soplight	37
74	PazinGaming	36
75	Druid95	35
75	Sheldor097	35
75	RadarHz	35
78	RatatJuice	34
79	fade_emerge78823	32
79	Hyp3rion_	32
81	eitanzaki	31
82	Groovy_MoonBird	30
82	Merv__	30
82	q_wq	30
82	prizm_	30
82	Jimi7hits	30
87	Touched_Bread	29
87	Nicserso	29
89	Rebytre	27
89	groofles	27
91	Nadhorion	26
92	jessewegottacook	25
92	Lord_Jord	25
92	WYFYoyo	25
95	ApophisNova	24
95	IdeallyGrey	24
95	MyNamaSheff	24
98	hanaryheatwave	21
98	lordpipe	21
100	Chickenchaser2	20
100	MilleGrug	20
102	Avocadogerms	19
103	lunathelemon	18
103	SammiWolfGirl	18
105	_Razaria	17
105	nattybears	17
105	T045RTY	17
105	Legendosh	17
109	ImpavidArcher	16
110	Moofyman	15
110	athereall	15
112	Prismyst	14
112	imcombxt	14
112	Jonafrog99	14
115	Papudron	12
115	_Nat666	12
115	Secret_Canary	12
115	Dakar_	12
115	Vegvisir	12
115	Heisenbberrg	12
121	sp00ky_ghost977	11
122	JohnnyMines	10
122	ActualPatbaf	10
122	Txeptsyip	10
122	Xalithia	10
122	AuroraSkies	10
122	verynothing	10
122	Skippeh	10
122	calamariclam_I	10
130	mix9ine_maz	9
130	FuxS0cy	9
132	Jackattack53	8
132	zToasty69z	8
132	AstreaTSS	8
132	PixelatedBoss	8
136	DinoDoctor_	7
136	AMOTOS_LASODEMIA	7
136	ScootOfBoot	7
136	FreakGenius	7
136	Vicemaniac	7
136	EtherealEspresso	7
142	MuffinManzz	6
142	Crowman1	6
142	12Magner05	6
142	Ithaca19	6
142	JitteryJared2	6
142	_Boipl_	6
142	wilgot_	6
142	SvenskaAlvar	6
142	Sorry_Arey	6
142	wwwwinnebagoooo	6
142	SkinnyBois	6
153	joethahobo	5
153	ItsHydroMC	5
153	crying_wolf_13	5
153	breadbowlgamer	5
153	Winklepicker279	5
153	oscminus	5
153	youarefrench_	5
160	SmashingPump	4
160	Frozil20	4
160	ccwildfire1	4
160	KGTV	4
160	LeauVox4921	4
160	benediktine1	4
160	0Vyp_	4
160	PigDab	4
160	xKool	4
160	Joestra	4
160	Njensen7	4
171	Raspberry_Sodas	3
171	XboxPanda	3
171	fw3xy74	3
171	ItsDeltaMC	3
171	tsitrawhy	3
171	Spenduh	3
171	SpacesickPrism	3
171	KeterComet	3
171	Quotary	3
180	Creativebuilder2	2
180	PhantomBionic	2
180	Da_Boss_Rani	2
180	shadowthemonkey	2
180	NomadicRobin_	2
180	shrimp_flips	2
180	Racengan	2
180	OffWithTheirHead	2
180	Meeerkat	2
180	_Mythic____	2
180	Eczbek	2
180	2blox_	2
192	H0UNDFRMH3LL	1
192	Apollo_993	1
192	shineh10	1
192	ZaneABrain	1
192	melono_o	1
192	ITDV	1
192	MinttyFressh	1
192	Smashic	1
192	Kkanot	1
192	JETrotter	1
192	Skylord_Luke	1
192	LeGold	1
192	Akoot_	1
192	MrQuanQuan	1
192	Deathkob	1
192	Not_Insom	1
192	LukeBBM12	1
192	KujikawaRisechi	1
192	NATE_the_HALO	1
192	Physics_Breaker	1
192	CattSoup	1
192	00000000-0000-0000-0009-01fc3bb26159	1
