rank	username	minecraft:mined/minecraft:lime_concrete
1	CornOnTheCobalt	2540
2	Spacewardharpy7	2343
3	Hoid_the_Roamer	1066
4	lordpipe	836
5	tartanboy	687
6	Elastiq	629
7	rarrq	602
8	noam464	573
9	PigDab	567
10	beeperbeeper5	504
11	royal_2	457
11	ROY4LE	457
13	stavgod	409
14	Kowcio_	355
15	ConnorDanky_	297
16	eitanzaki	273
17	DC_XII	223
18	YungMaki	196
19	TheSecondLord	180
20	jnp_gaming	172
21	sp00ky_ghost977	171
22	thewindmillman	156
23	Notta	151
24	AlexxO_o	137
25	Jimb0nat0r	124
26	Manaateee	118
27	oreee	115
28	Mattesco	112
29	teslawolf38	110
30	Merv__	105
31	I_Am_Mushkin	96
32	Eraxa	93
33	TheKingK_	90
34	EngagedGrub41	89
35	MakeHistory157	88
36	Hiryu27	75
37	underscore_2	73
38	Cache3	68
39	T045RTY	65
39	Mahoose	65
41	Gryglu583	64
41	SvenskaHugo	64
43	Snowflowe	55
44	pintsizedrogue	54
44	TruestTurnip	54
46	Soplight	53
47	Yamdalorian	49
48	hanaryheatwave	48
48	HellsSponge	48
50	Lez_	42
51	Niklas20114552	40
51	joethahobo	40
53	_Huge_Male_	37
54	PazinGaming	33
55	Gus2005	32
56	EdGalbraith	28
57	k_ce	26
58	Di_infiri	21
59	luseis	19
60	skroobiez	17
60	Arceus1975	17
62	SammiWolfGirl	13
63	500am	10
63	EcksD	10
65	starbits140	9
66	QuiCreans	8
66	Kim_Jong_eel	8
66	teakings	8
69	Powowowow	7
70	Fuad_R	6
71	Mr_Byzantine	2
71	Frozil20	2
71	mwrty	2
71	pixelviolin	2
75	pr33tu	1
75	Jackattack53	1
75	MousePlays	1
75	Akoot_	1
75	emreknugrlu	1
75	_Mythic____	1
75	Pumpkin_P_Patch	1
75	VentiHilton	1
