rank	username	minecraft:mined/minecraft:crimson_pressure_plate
1	beeperbeeper5	12
2	rarrq	3
2	Legendosh	3
4	jacxhadow	2
4	mwrty	2
4	Optiprimus	2
7	Yatitay	1
7	Billious	1
