rank	username	minecraft:mined/minecraft:warped_wart_block
1	12Magner05	29322
2	Blackberry1310	22052
3	Snowflowe	14201
4	pintsizedrogue	7925
5	Spacewardharpy7	7197
6	joethahobo	5593
7	Ezekson	4320
8	Historical_Sand	3090
9	TheSecondLord	3025
10	Arceus1975	2569
11	Smoke____	2457
12	Lutres_Torane	2301
13	Afinnity	1941
14	Steelynan	1924
15	Fullut	1569
16	rarrq	1555
17	Ryker	1492
18	Freak_Genius	1258
19	diamondgolem35	1143
20	noam464	1142
21	Luigipunch989	1121
22	Jiminie	1066
23	thewindmillman	1065
24	Cowison	988
25	pumpfonzo	894
26	BobDeBouwer1337	874
27	Decaying_Lotus	844
28	Mahoose	785
29	_Virify_	641
30	oxfordschool	632
31	TheALV	624
32	Hermanni__	616
33	CliffEmAll	603
34	HellsSponge	563
35	Eraxa	521
36	Hpdinosaur	506
37	Xalithia	488
38	Winston_Ingram	478
39	lizardfightclub	474
40	Hoid_the_Roamer	469
41	Enderslayerxz3	464
42	beeperbeeper5	452
43	PegLegPete93	434
44	brofrickcheaters	433
45	YungMaki	380
46	livingdaydreams	369
47	EveryonesUncle	343
48	Kubelz	326
49	Kowcio_	295
50	teslawolf38	289
51	Lord_Jord	286
52	500am	274
53	gcaisawesome	269
54	mwrty	244
55	Blaiku	240
56	TheShyPig	215
57	groofles	170
58	Kakolbus	163
59	KartivGal	161
60	CarltheCuck	144
61	CalebDHawk	126
62	RoskobiOne	117
63	PortlyPete69	110
64	Akoot_	107
65	kekhon	101
66	ooga47	98
67	SammiWolfGirl	97
68	Deathkob	96
69	XboxPanda	91
70	Soplight	90
71	Marbz_	84
72	Vorlice	81
73	Winklepicker279	76
74	lordpipe	72
75	EMC_	70
76	PlasticOtari	60
77	TheEnderman548	59
78	eitanzaki	53
79	Awyrlas	47
80	Moofyman	46
81	BlancoFlaco	44
81	Hyp3rion_	44
83	CoffeeNoir	41
83	jaimshae	41
85	HolyVenom	40
85	NomadicRobin_	40
87	ShedJr_	37
88	DinoDoctor_	34
89	SuperPooch06	31
90	SvenskaHugo	29
91	RatatJuice	27
92	djancak	26
92	MilleGrug	26
94	TheDankPlatypus	25
95	monky_irl	20
95	scarletwarrior1	20
97	Khelvoryk	18
97	DarlaMeow	18
99	BasedEphex	17
99	ZeroKraken	17
99	trexgb	17
102	diggydog67	16
103	Nicserso	15
104	Wooptey	14
104	Dusk_95	14
106	sammidk	12
107	Di_infiri	11
107	MyNameIsDakar	11
109	anbbang	10
110	titanlax	9
110	MrExplorer	9
110	r123moore	9
113	soundad	8
114	cwartzo	7
114	AuroraSkies	7
114	little_dUki	7
117	Nycteus_	6
118	UncreativeArtist	5
118	Silvo614	5
118	Frozil12	5
118	MineMaster0012	5
122	Travasaur	4
122	T045RTY	4
122	Prismyst	4
122	PhantomBionic	4
122	himak1	4
122	Mookle96	4
122	trixterrx	4
122	StarPlanetMoon	4
122	Zythose	4
122	Ze_BaronKrigler	4
122	GlitchyPlate810	4
122	YoshikageBites	4
122	00000000-0000-0000-0009-01ff0c3e5e4f	4
135	PhantomsGhost_	3
135	Drlzyy	3
135	Merv__	3
135	Rebytre	3
135	IdeallyGrey	3
135	Skippeh	3
135	RadarHz	3
142	AuroraValkyrie	2
142	jacxhadow	2
142	bloodbiter	2
142	_Dean_123	2
142	fade_emerge78823	2
142	M_Patata	2
142	lillips	2
142	MightyWertu	2
142	Toriankel	2
142	mihimihimihi	2
142	MasterNueve	2
142	sp00ky_ghost977	2
142	ZoharGoldMine	2
142	07shiny	2
142	NATE_the_HALO	2
142	Kubeusz2010	2
142	EcksD	2
159	Groovy_MoonBird	1
159	Nesquiczek	1
159	hm947	1
159	Base_Tempest	1
159	Swexti	1
159	Da_Boss_Rani	1
159	NieToksikpl	1
159	Ardennes	1
159	TowenPL	1
159	SteveCraftBlocks	1
159	set67	1
159	paranoid_plant	1
159	benediktine1	1
159	breadbowlgamer	1
159	Jackattack53	1
159	whoaluv	1
159	Chromary	1
159	burbankbuilder28	1
159	King_Pancake1	1
159	JitteryJared2	1
159	Werbe	1
159	PigDab	1
159	KliBeast21	1
159	LexMakesHistory	1
159	DemTechAlpha	1
159	MAns_44	1
159	wwwwinnebagoooo	1
159	Hisiste	1
159	ItsDeltaMC	1
159	AssFullaCum	1
159	Miko_Fullbuster	1
159	Quotary	1
