rank	username	minecraft:mined/minecraft:campfire
1	Mahoose	421
2	Kakolbus	231
3	Rebytre	218
4	Di_infiri	202
5	ImpavidArcher	194
6	pintsizedrogue	174
7	PhantomsGhost_	135
8	_Dean_123	128
9	Hyp3rion_	124
10	thescout7	90
10	PlasticOtari	90
12	500am	87
13	Kowcio_	84
14	kekhon	80
14	Steelynan	80
16	lordpipe	73
17	Lez_	70
18	h2p_emrld	68
19	fkGrim	66
20	EngagedGrub41	64
20	Smoke____	64
22	HellsSponge	55
23	EMC_	53
24	SkateboardR6	52
25	Onennon	51
26	Fullut	49
27	lcvezra	48
28	Merv__	47
28	FreakGenius	47
30	m_be9	46
30	Kouridragon	46
32	BronkerBrum	45
32	xolstoi	45
34	rarrq	43
34	Fuad_R	43
36	Smashic	41
37	Megarboh	40
38	claivin	37
39	Jackattack53	36
40	Racengan	35
40	Soplight	35
42	KarlKaek	32
42	Cryptacity	32
44	Awyrlas	31
45	titanlax	30
45	TheSecondLord	30
47	Enderxz3	29
48	Blackberry1310	28
48	MyNameIsJobo	28
50	Eczbek	27
51	beeperbeeper5	26
51	MangoTheFish	26
51	masskedman	26
51	anbbang	26
55	luseis	25
55	SvenskaHugo	25
57	RebelAndroid	24
57	ewpunk	24
57	KingMatthew506	24
60	eitanzaki	23
61	CoffeeNoir	22
62	TheDankPlatypus	21
62	KeruNatsema	21
62	YungMaki	21
62	Skippeh	21
66	Historical_Sand	20
66	EveryonesUncle	20
68	SDMNAEK	19
68	legal_tax_evader	19
68	Arceus1975	19
68	UCP_TheKingK	19
68	SammiWolfGirl	19
73	burbankbuilder28	18
73	ConnorDanky_	18
73	00000000-0000-0000-0009-01ff0c3e5e4f	18
76	TheShyPig	17
76	Meatlaugh	17
76	Blaiku	17
79	Chromary	16
79	StinkyDiplomat	16
79	Blu3beast	16
79	WYFYoyo	16
83	Sleek_Storm_721	15
83	noam464	15
83	ApophisNova	15
83	dezxalo	15
83	EcksD	15
83	MyNamaSheff	15
89	Covalents	14
89	PortlyPete69	14
91	jacxhadow	13
91	xxPipperDipperxx	13
91	prizm_	13
91	Marbz_	13
91	Quotary	13
96	_stets	12
96	SaucyDark	12
96	joethahobo	12
96	Vizzoid	12
96	LeauVox4921	12
96	SuperPooch06	12
96	thewindmillman	12
96	Maenara	12
96	Deathkob	12
96	iSammael	12
96	sp00ky_ghost977	12
96	Dreamdbr14	12
96	Legendosh	12
109	soundad	11
109	RatatJuice	11
109	Werbe	11
109	SpacesickPrism	11
109	Ezekson	11
109	Zoeyfortnite	11
109	diggydog67	11
116	DinoDoctor_	10
116	heckface	10
116	Prodiginus	10
116	KingEgg1	10
116	Dusk_95	10
121	Tommhh	9
121	T045RTY	9
121	set67	9
121	NomadicRobin_	9
121	RoofTyler	9
121	bladeefan2009	9
127	Bandito_Roamer	8
127	Ryker	8
127	youhjjhhhjj	8
127	groofles	8
131	fanofbands101	7
131	PazinGaming	7
131	Frozil20	7
131	Euclidoris	7
131	Ozixar	7
131	ConcretePirate	7
131	crying_wolf_13	7
131	Kamflame10	7
131	gabriels543	7
131	Akoot_	7
131	ReSynced	7
131	ese_wn_po	7
131	NameGenerat0r	7
131	calamariclam_I	7
145	TheBiggestFeller	6
145	Hpdinosaur	6
145	Ssor69	6
145	Auseawesome	6
145	Jakobo1337	6
145	UncreativeArtist	6
145	Inchef	6
145	benediktine1	6
145	Zythose	6
145	Vetral1	6
145	Warlord324	6
145	Ze_BaronKrigler	6
145	Optiprimus	6
145	Eraxa	6
145	starbits140	6
145	brofrickcheaters	6
161	SaltineDream	5
161	FazeObama69	5
161	diamondgolem35	5
161	Esme_1	5
161	Nicky_H225	5
161	orxngejuice	5
161	Xalithia	5
161	M_Patata	5
161	wezzzi	5
161	MyNameIsDakar	5
161	mihimihimihi	5
161	MasterNueve	5
161	CalebDHawk	5
161	ZeroKraken	5
161	Kubeusz2010	5
176	elicobnoah	4
176	teslawolf38	4
176	6king6colt6	4
176	Huwulling	4
176	Comma__	4
176	Guillemet	4
176	PegLegPete93	4
176	2Stout	4
176	NoxxxxiS	4
176	BlueZabu	4
176	epiksk8erduck	4
176	ZA07	4
176	TheTrueClipse	4
176	420BreadLizard	4
176	Inbefour	4
176	Jiminbub	4
176	HELLO_I_AM_BEAR	4
176	ReflexCode	4
176	wwwwinnebagoooo	4
176	Spacewardharpy7	4
176	CheifJumbo	4
176	MineMaster0012	4
176	xzvu	4
176	BurgerKnight	4
176	Njensen7	4
176	Nicserso	4
202	Tolhart	3
202	JokoFiskare	3
202	Incinere	3
202	livingdaydreams	3
202	InfernalMound	3
202	mwrty	3
202	ROY4LE	3
202	mariominejedi	3
202	AJplaysMC_	3
202	RyuNeko932000	3
202	Shiirazu	3
202	Jimi7hits	3
202	audiocracked	3
202	_Bguette_	3
202	LexMakesHistory	3
202	MAns_44	3
202	Sayid951	3
202	Mythic1130	3
202	Beenymph	3
221	Harotio	2
221	hollowww	2
221	q_wq	2
221	Iagoku	2
221	Rox_The_Box	2
221	FirsTimeGamingTV	2
221	dopplexd	2
221	NieToksikpl	2
221	BobDeBouwer1337	2
221	bloodbiter	2
221	12Magner05	2
221	slkiey	2
221	Scathra	2
221	Mariopreeet	2
221	eiC_	2
221	Winklepicker279	2
221	CollinMH06	2
221	Rumpletaezer	2
221	Snowflowe	2
221	Skylord_Luke	2
221	Chuvacevedo	2
221	wrinkledpiglet	2
221	CarryLine	2
221	zToasty69z	2
221	Drewen24	2
221	lizardfightclub	2
221	Rasmanden	2
221	Fakiuss	2
221	Roikdean	2
221	ogoa	2
221	Gryglu583	2
221	DTwenty	2
221	privatemeekly	2
221	Fuhrer_Teemo	2
221	rotten_mango	2
221	Cavetorch	2
221	MightyWertu	2
221	Hisiste	2
221	Airem_Core	2
221	Lord_Doob	2
221	WyngGoy	2
221	djancak	2
221	__tomato	2
221	LeEricc	2
221	Deguns123	2
221	xX_Stalin69_Xx	2
221	cichy096	2
221	smogfrog	2
221	jnp_gaming	2
221	TechnoNinja64	2
271	BannerZzZ	1
271	heysushii	1
271	dudcreeper	1
271	Cowison	1
271	squigglybones	1
271	dabloons	1
271	Killswitch_RW	1
271	jspwn	1
271	SmashingPump	1
271	MikeIsSalty	1
271	TooManyDuck	1
271	Ironmine12	1
271	Alteriity	1
271	Natty	1
271	SidorAlex	1
271	Simon_Lowell	1
271	peach0s	1
271	ShedJr_	1
271	ITDV	1
271	Sleepy_Time_	1
271	LoboTheLobster	1
271	Malorn_Aetherius	1
271	Under1	1
271	Notta	1
271	Presisor	1
271	Ravenbie	1
271	Ardennes	1
271	zorin123	1
271	_Nuf	1
271	shyshyannne	1
