rank	username	minecraft:mined/minecraft:jungle_sign
1	Hyp3rion_	59
2	titanlax	39
3	__tomato	37
4	thescout7	35
5	Xalithia	25
6	ROY4LE	21
7	eitanzaki	17
7	Freak_Genius	17
9	Deathkob	14
10	joethahobo	12
10	Awyrlas	12
10	Windo_licker	12
13	Blaiku	9
14	kekhon	8
15	Blackberry1310	7
16	TAKrules	6
16	Mahoose	6
16	500am	6
16	mwrty	6
16	fluddd	6
16	YungMaki	6
16	kinas45y5	6
23	ShedJr_	5
23	Historical_Sand	5
23	beeperbeeper5	5
23	Dogcorn69420	5
23	Smoke____	5
28	Zythose	4
28	Lord_Jord	4
28	oxfordschool	4
31	Bandito_Roamer	3
31	Incinere	3
31	xxPipperDipperxx	3
31	Afinnity	3
31	Sky_light_KING	3
31	Fuad_R	3
31	Quaintster	3
31	Nycteus_	3
31	lordpipe	3
31	_TCARREIRA_	3
31	Enderslayerxz3	3
42	Harotio	2
42	ssleepless	2
42	Swexti	2
42	heckface	2
42	jamesq133	2
42	_Dean_123	2
42	Fullut	2
42	M_Patata	2
42	Kakolbus	2
42	Sagaram	2
42	BronkerBrum	2
42	Felenov	2
42	CruncyIsTaken	2
42	fred870d	2
42	DarlaMeow	2
42	Frozil12	2
42	Airem_Core	2
42	MasterNueve	2
42	yatsuta	2
42	Steelynan	2
62	I_Am_Mushkin	1
62	ImpavidArcher	1
62	NatrixxddxYT	1
62	T045RTY	1
62	MSK__	1
62	H72l9w	1
62	Da_Boss_Rani	1
62	Sleepy_Time_	1
62	TheSecondLord	1
62	Rich_Kat	1
62	himak1	1
62	Septemb3r	1
62	noam464	1
62	benediktine1	1
62	gabriels543	1
62	Snowflowe	1
62	RyuNeko932000	1
62	MangoTheFish	1
62	PigDab	1
62	SvenskaAlvar	1
62	TheShyPig	1
62	FishyBoy3811	1
62	Akoot_	1
62	AlphaWolfPlaysMC	1
62	ese_wn_po	1
62	lillips	1
62	The_slideV3	1
62	iHuntWeeaboos	1
62	SkateboardR6	1
62	Soplight	1
62	Spenduh	1
62	SammiWolfGirl	1
62	PortlyPete69	1
62	jcool7	1
62	Eczbek	1
62	Hermanni__	1
62	EcksD	1
62	RadarHz	1
62	Legendosh	1
62	PlasticOtari	1
62	The_SlideV5	1
