rank	username	minecraft:mined/minecraft:lava_cauldron
1	EMC_	34
2	prizm_	26
3	non089	22
4	calamariclam_I	18
5	thewindmillman	6
6	T045RTY	5
6	Jackattack53	5
8	LeEricc	4
9	lpinfinity	3
9	noam464	3
9	FormulaNewt3627	3
12	ImpavidArcher	2
12	Manaateee	2
14	PazinGaming	1
14	MSK__	1
14	oscminus	1
14	goldyx	1
14	Dakar_	1
14	mihimihimihi	1
14	SvenskaHugo	1
14	Kowcio_	1
14	Steelynan	1
14	Yamdalorian	1
