rank	username	minecraft:mined/minecraft:acacia_leaves
1	Blackberry1310	9511
2	Yamdalorian	8523
3	Blaiku	8060
4	beeperbeeper5	5759
5	Enderxz3	4572
6	gcaisawesome	4424
7	noam464	3047
8	TheShyPig	2879
9	Snowflowe	2681
10	kalzor	2113
11	KingMatthew506	2081
12	doublemaki	2068
13	Zedducius	1992
14	NatalieTW	1758
15	Caribouse	1745
16	Mr_Byzantine	1626
17	Mahoose	1476
18	EveryonesUncle	1295
19	ApophisNova	1280
19	MyNamaSheff	1280
21	k_ce	1268
22	FreakGenius	1212
23	Pumpkin_P_Patch	1200
24	Spaghettatron	1182
25	ImpavidArcher	1172
26	pintsizedrogue	1098
27	j5ylim	986
28	Ezekson	938
29	_witch_craft_	883
30	El_Jalapeno	844
31	Fullut	784
32	ee_echo_oo	756
33	r123moore	749
34	Merv__	718
35	eiC_	675
36	PazinGaming	670
37	luseis	642
38	doxicusmaximus	635
39	royal_2	605
40	ROY4LE	604
41	Meatlaugh	601
42	Segotep999	570
43	mariominejedi	546
44	Malware_Mara	545
45	RebelAndroid	531
46	diamondgolem35	494
47	Franco093	485
48	Steelynan	483
49	Apollo_993	477
50	MousePlays	462
51	xzvu	456
52	12Magner05	452
53	Hoid_the_Roamer	449
54	Luigipunch989	438
55	Di_infiri	435
56	Spacewardharpy7	433
57	MyNameIsJobo	431
58	eitanzaki	424
59	Werbe	421
60	BlancoFlaco	404
61	TechnoNinja64	401
62	PlasticOtari	399
63	jushykins	385
64	Hpdinosaur	378
65	EcksD	377
66	Groovy_MoonBird	351
66	_3Stump_	351
68	kekhon	332
69	corvidpartyfor6	331
70	IAmTheWalrus910	326
71	ibarker21	312
72	Soul_Atreus	305
73	Hiryu27	300
74	lordpipe	299
75	Lez_	290
76	NameGenerat0r	283
77	firesgal3116	272
78	sp00ky_ghost977	271
79	andy_rex	265
79	TheSeismicDuck	265
81	Marbz_	249
82	Manaateee	248
83	mawileite	244
84	2Stout	243
85	CacheOut	241
86	Mowelan	238
87	hanaryheatwave	237
88	Bandito_Roamer	235
89	Moofyman	232
90	Twighst	229
91	excelsionprime	224
92	Kakolbus	223
92	CarltheCuck	223
92	Jonafrog99	223
95	pixelviolin	212
