rank	username	minecraft:mined/minecraft:polished_diorite
1	burbankbuilder28	3439
2	sp00ky_ghost977	2458
3	El_Jalapeno	1589
4	TheShyPig	1359
5	AdmiralSmoke	1264
6	Lord_Jord	1179
7	noam464	1051
8	OfficerAnvil	913
9	Inbefour	811
10	Lukeee33	689
11	joethahobo	687
12	MattieHD	636
13	weabis	613
14	Xclax101	578
15	beeperbeeper5	565
16	Froste131	557
17	Hoid_the_Roamer	533
18	_TCARREIRA_	532
19	Onennon	517
20	m_be9	487
21	KarlKaek	410
22	TheWildMateo	406
23	kekhon	397
24	Marbz_	394
24	Legendosh	394
26	bpmm	391
27	Cowison	382
28	PazinGaming	361
29	teslawolf38	332
30	12Magner05	331
31	Blu3beast	327
32	Optiprimus	317
33	himak1	301
34	RedcatVII	296
35	LittleBug562	284
36	ooga47	282
36	Maenara	282
36	Meatlaugh	282
39	Blackberry1310	277
40	Yahrto	273
41	Soplight	268
42	ROY4LE	245
43	Merv__	243
44	ImpavidArcher	241
44	MightyWertu	241
46	Winklepicker279	238
47	Ezekson	224
48	ShedJr_	215
48	bruh072	215
50	fluddd	214
51	ApophisNova	208
51	MyNamaSheff	208
53	Darkgon	206
54	Mahoose	202
55	jacxhadow	197
55	TheDankPlatypus	197
57	Prodiginus	186
57	Megarboh	186
59	MrExplorer	180
60	Hyp3rion_	179
61	fw3xy74	172
62	Deathkob	170
63	killmeiamtraitor	169
64	rarrq	166
65	_Dean_123	165
66	Powowowow	163
67	Doom_melon	160
68	DanTheBuilderino	158
68	Airem_Core	158
70	Teebone15	151
71	Fuhrer_Teemo	150
72	JESS_THE_RERE	147
73	Frozil20	143
74	Comma__	141
75	KingMatthew506	137
76	bearlystraight	132
77	ItsGrayWolf	130
78	cedric72	128
79	Ssor69	121
79	_Karmaa	121
81	PlasticOtari	120
82	07shiny	119
83	autisticcupcake	118
84	alderban107	115
85	Natty	114
86	Malorn_Aetherius	113
86	seramalen	113
88	_Huge_Male_	110
89	Akoot_	108
89	WyngGoy	108
91	ConnorDanky_	105
92	pintsizedrogue	104
93	Western_1	102
94	brycepants	100
94	Steelynan	100
96	Donutt	97
97	EveryonesUncle	92
98	HellsSponge	91
99	eitanzaki	86
99	DarlaMeow	86
101	JayToe	85
102	Kubelz	83
102	Photosynthesis_s	83
104	ProfessorBee	82
105	AuroraValkyrie	81
106	luseis	77
106	Wolverine4302	77
108	Huwulling	75
109	tsitrawhy	74
110	Rebytre	72
110	aec9	72
112	The_slideV3	71
113	jcool7	69
114	Krowuss	66
115	ProfessorDiaper	65
116	benediktine1	64
116	Spenduh	64
118	NatalieTW	62
