rank	username	minecraft:mined/minecraft:black_wall_banner
1	beeperbeeper5	285
2	Mahoose	142
3	kekhon	131
4	PigDab	80
5	joethahobo	73
6	fluddd	66
7	burbankbuilder28	61
8	Eraxa	60
9	lordpipe	47
10	rarrq	45
11	TheShyPig	41
12	Maenara	29
13	500am	27
13	Legendosh	27
15	ShedJr_	24
16	Hyp3rion_	23
17	TheSecondLord	22
17	_Dean_123	22
17	Fildyr	22
20	Onennon	20
21	Blackberry1310	18
21	Werbe	18
21	EcksDofficial	18
24	Kynigito	17
25	6king6colt6	16
25	MattieHD	16
27	egglapras	15
27	Soplight	15
27	Winston_Ingram	15
27	Hermanni__	15
27	oxfordschool	15
32	Cryptacity	14
33	Historical_Sand	13
33	BobDeBouwer1337	13
35	HellsSponge	12
36	Blu3beast	10
36	YungMaki	10
36	Enderslayerxz3	10
39	pintsizedrogue	9
39	2Stout	9
39	SuperPooch06	9
39	Eczbek	9
43	titanlax	8
44	Freak_Genius	7
45	MrExplorer	6
45	xxPipperDipperxx	6
45	LAVA129	6
45	Deathkob	6
45	Xclax101	6
45	SingedBread	6
45	Smoke____	6
52	teslawolf38	5
52	T045RTY	5
52	LionelHutzESQ	5
52	SquadMonster	5
52	gabriels543	5
52	ApophisNova	5
52	RodSerlingCringe	5
52	Akoot_	5
52	_Karmaa	5
52	Blaiku	5
52	Optiprimus	5
52	MyNamaSheff	5
64	Isaac70096	4
64	Di_infiri	4
64	RobotMinion101	4
64	Jiminie	4
64	layabout100	4
64	BlankityMcBlank	4
64	stahouo	4
71	Merv__	3
71	TildaAndrea	3
71	CompAir	3
71	ProfessorBee	3
71	Stiar	3
71	Winklepicker279	3
71	Rocco_Lane	3
71	epiksk8erduck	3
71	MyNameIsDakar	3
71	TheTommyGun63	3
71	Kyrum2169	3
71	KingMatthew506	3
71	cichy096	3
84	Incinere	2
84	eitanzaki	2
84	Reamdin	2
84	thescout7	2
84	r123moore	2
84	NotKaden_	2
84	CarltheCuck	2
84	thewindmillman	2
84	Rebytre	2
84	__tomato	2
84	SSytex_X	2
84	Nekomin0	2
84	Quotary	2
84	Mr_Teddiursa_K	2
84	FelixPSY375	2
99	soundad	1
99	error10101	1
99	hm947	1
99	Natty	1
99	tsohomie	1
99	Ganjier	1
99	Euclidoris	1
99	slendersipl	1
99	m_be9	1
99	Ardennes	1
99	TheDiamondCG	1
99	Fullut	1
99	Smashic	1
99	noam464	1
99	arcanemagic	1
99	Zythose	1
99	andy_rex	1
99	k1ngGilgamesh	1
99	seramalen	1
99	Drewen24	1
99	Rasmanden	1
99	wirelesstree	1
99	_Hxdes_	1
99	Fuhrer_Teemo	1
99	DarlaMeow	1
99	claivin	1
99	Quaintster	1
99	Steven1282598	1
99	Groundler	1
99	MakeHistory157	1
99	teakings	1
99	Conrad139	1
99	Razzgriz	1
99	_JrTurtle_	1
99	jcool7	1
99	Steelynan	1
99	BreadBacon	1
99	Sral7	1
