rank	username	minecraft:mined/minecraft:potatoes
1	PhantomsGhost_	14724
2	LordAurum	9327
3	kekhon	5845
4	SpacesickPrism	5789
5	youhjjhhhjj	5186
6	bloodbiter	4915
7	TheShyPig	4587
8	Prodiginus	4393
9	Snowflowe	4182
10	thgrocks	4158
11	Mr_Byzantine	3741
12	Enderxz3	3497
13	FreakGenius	3435
14	The11thDoctor	3269
15	TechnoNinja64	3182
16	Blackberry1310	2944
17	EMC_	2943
18	pintsizedrogue	2637
19	AdmiralSmoke	2629
20	Voxin2K	2397
21	fade_emerge78823	2347
22	Nicserso	2089
23	HellsSponge	1952
24	wezzzi	1915
25	thescout7	1907
26	Kim_Jong_eel	1840
27	Racengan	1839
28	luseis	1743
29	CoffeeNoir	1673
30	Dakar_	1666
31	RadarHz	1636
32	Katsuragi0243218	1606
33	joethahobo	1572
34	MightyWertu	1559
35	Skippeh	1525
36	UMosDiesIrae	1514
37	PegLegPete93	1507
38	UrbanPlanningEx	1482
39	ActualPatbaf	1425
40	PigDab	1405
41	beeperbeeper5	1236
42	ProfessorBee	1233
43	NormanFetus	1229
44	ADEXTV	1204
45	ChampPog_	1198
46	coobert42	1172
47	livingdaydreams	1062
48	MadmanRaven	1048
49	thewindmillman	1044
50	Bumpy419	1015
51	SaucyDark	977
52	JESS_THE_RERE	973
53	Xalithia	962
54	slkiey	959
55	Smashic	937
56	El_Jalapeno	928
57	Kubeusz2010	911
58	Merv__	888
59	TooManyDuck	845
60	Soplight	825
61	Tolhart	824
62	ooga47	806
63	Rumpletaezer	805
64	Werbe	802
65	Lord_Jord	799
66	Kakolbus	793
67	Groovy_MoonBird	782
68	eiC_	780
69	RebelAndroid	765
70	AstreaTSS	743
71	Hyp3rion_	742
72	m_be9	737
73	himak1	734
74	benediktine1	728
75	UncreativeArtist	715
76	Akoot_	706
77	Kateesaur	692
78	RatatJuice	685
79	Zythose	682
80	excelsionprime	681
81	noam464	676
82	Di_infiri	667
83	j5ylim	663
83	NebulousBadger	663
85	Warlord324	645
86	H72l9w	642
87	Blu3beast	634
88	Ezekson	625
89	KarlKaek	612
90	SammiWolfGirl	599
91	TheBananaKat	592
92	ReflexCode	578
93	OfficerAnvil	570
94	Airem_Core	566
95	mariominejedi	561
96	Bandito_Roamer	559
96	diggydog67	559
98	djancak	556
99	SvenskaHugo	548
100	Iagoku	547
101	4774	542
102	SSytex_X	536
103	Xclax101	530
104	Crowman1	499
105	CharlieButt	492
106	ewsophie	488
106	BumbleBeever	488
108	calamariclam_I	478
109	Frozil20	475
110	MAns_44	473
111	Fullut	471
112	ARandomHedge	467
113	rachcl	464
113	Hoid_the_Roamer	464
115	legal_tax_evader	458
116	ItsMrRamen	445
117	NYJ	442
118	smogfrog	436
119	Ssor69	407
119	MattieHD	407
121	GingerNeutron	401
122	CliffEmAll	400
123	Manaateee	398
124	Mahoose	391
125	mwrty	390
126	rarrq	383
126	SlayerCrypto	383
128	Malware_Mara	379
129	purpolepickle	374
130	RefluxRatio	365
131	natajimi	363
132	Joestra	360
133	__tomato	357
134	eviltunix	343
135	Ryker	341
136	q_wq	336
137	dopplexd	330
138	dudcreeper	321
139	shdesolt	317
140	AJplaysMC_	313
141	r123moore	312
142	xzvu	308
143	squigglybones	304
144	TastyPorkchop	296
144	seramalen	296
146	Wooptey	291
