rank	username	minecraft:mined/minecraft:pink_carpet
1	jnp_gaming	428
2	joethahobo	385
3	lordpipe	134
4	HellsSponge	99
5	beeperbeeper5	69
6	Hermanni__	61
7	wrinkledpiglet	60
8	Ezekson	58
9	500am	50
10	YungMaki	41
11	xxPipperDipperxx	38
12	queenalina123	37
13	Quotary	34
14	00000000-0000-0000-0009-01ff0c3e5e4f	29
15	Lez_	28
16	Rumpletaezer	27
16	lcvezra	27
18	monky_irl	25
19	djancak	22
20	Crowvens	16
20	KeruNatsema	16
22	kekhon	15
22	PlzNoBM	15
24	EveryonesUncle	14
24	Freak_Genius	14
24	MilleGrug	14
27	RebelAndroid	12
27	_Dean_123	12
27	_Boipl_	12
27	Enderslayerxz3	12
31	Blackberry1310	11
31	seramalen	11
31	__tomato	11
34	Sleek_Storm_721	7
34	LilLizardWizard	7
34	El_Jalapeno	7
34	stahouo	7
38	Di_infiri	6
38	Zoeyfortnite	6
38	Smoke____	6
41	thewindmillman	5
41	Maenara	5
41	LexMakesHistory	5
41	MakeHistory157	5
41	TechnoNinja64	5
46	roxycherry	4
46	PeteO1995	4
46	audiocracked	4
46	MAns_44	4
46	__Auspicious	4
46	_Tilariel_	4
46	Segotep999	4
53	Huwulling	3
53	Swexti	3
53	Kyrum2169	3
53	LeeMcGee30	3
57	numbra	2
57	Sparky_KT	2
57	Spacewardharpy7	2
57	Nagasaki_Riku	2
57	obzii	2
57	EcksD	2
63	diamondgolem35	1
63	Killercatty78	1
63	T045RTY	1
63	Mahoose	1
63	rarrq	1
63	heckface	1
63	Ozixar	1
63	jushykins	1
63	YungJakobo	1
63	pr33tu	1
63	Fullut	1
63	Smashic	1
63	SellyZ	1
63	Arceus1975	1
63	Voxin2K	1
63	cedric72	1
63	Jiminie	1
63	NameGenerat0r	1
63	Nycteus_	1
63	MightyWertu	1
63	Deguns123	1
63	MelodyGaysharks	1
