rank	username	minecraft:mined/minecraft:polished_blackstone_brick_stairs
1	EveryonesUncle	1830
2	pintsizedrogue	1526
3	Legendosh	1193
4	burbankbuilder28	1146
5	noam464	1057
6	Manaateee	893
7	rarrq	863
8	Mattesco	799
9	TheSecondLord	559
10	k_ce	479
11	FreakGenius	416
12	Kubeusz2010	402
13	Dakar_	401
14	beeperbeeper5	379
15	eitanzaki	345
16	YungMaki	316
17	Eraxa	291
18	12Magner05	289
19	Winklepicker279	275
20	Zythose	272
21	TheShyPig	262
22	Deathkob	223
22	00000000-0000-0000-0009-01ff0c3e5e4f	223
24	Spacewardharpy7	217
25	MAns_44	199
26	ogoa	182
26	Blaiku	182
26	_Mythic____	182
29	diamondgolem35	169
30	Hyp3rion_	165
31	Enderxz3	163
32	PlasticOtari	158
33	Klerick	145
34	RebelAndroid	143
34	thewindmillman	143
36	6king6colt6	136
37	Di_infiri	129
38	Eczbek	123
39	Jonafrog99	120
40	Kakolbus	116
41	Fullut	112
42	Blackberry1310	109
42	kekhon	109
44	UCP_TheKingK	107
45	SpacesickPrism	105
46	hanaryheatwave	104
47	joethahobo	102
48	Werbe	100
49	Cowison	94
49	Decaying_Lotus	94
51	Druid95	93
52	Jimb0nat0r	92
53	Jakobo1337	90
54	FishyBoy3811	88
55	excelsionprime	86
56	SquadMonster	81
57	r123moore	80
57	Solar_Power	80
59	Lord_Jord	77
60	PortlyPete69	70
61	himak1	69
61	lizardfightclub	69
61	luseis	69
64	Crowman1	68
65	Ezekson	67
66	500am	65
66	benediktine1	65
68	ImpavidArcher	57
69	Lez_	56
70	EcksD	53
71	set67	49
72	lorpus	48
73	olliebollie48	42
74	HellsSponge	38
75	ConnorDanky_	37
76	soundad	36
76	CliffEmAll	36
78	Shogunite	33
79	Steelynan	32
80	PazinGaming	31
81	Alteriity	27
82	SmashingPump	24
82	Huwulling	24
84	KarlKaek	23
84	gustarlep	23
84	wwwwinnebagoooo	23
87	livingdaydreams	22
87	drunkeeez	22
87	Optiprimus	22
90	JitteryJared2	20
90	zToasty69z	20
90	ZoomieZoomie	20
93	Hpdinosaur	19
93	Marbz_	19
95	Jackattack53	18
95	Sorry_Arey	18
95	SkateboardR6	18
95	lordpipe	18
99	Yatitay	16
99	Awyrlas	16
99	iSammael	16
99	Winston_Ingram	16
103	ShedJr_	15
103	ITDV	15
103	Snowflowe	15
106	chipklip	14
106	Elastiq	14
106	DracZSenpai	14
109	jacxhadow	13
109	Billious	13
109	RadarHz	13
109	Nicserso	13
113	T045RTY	12
114	_Virify_	11
114	ECstardust	11
114	4774	11
114	2Stout	11
114	PigDab	11
114	KeruNatsema	11
114	Soplight	11
114	AdmiralSmoke	11
122	Apollo_993	10
122	Razzgriz	10
124	crying_wolf_13	9
124	mwrty	9
124	ooga47	9
124	sp00ky_ghost977	9
128	teslawolf38	8
128	BobDeBouwer1337	8
128	breadbowlgamer	8
128	Moofyman	8
128	bearlystraight	8
133	_Razaria	7
133	Saucepeh	7
135	Mr_Byzantine	6
135	Mahoose	6
135	Myrlewen	6
135	cichy096	6
139	Paint	5
139	PegLegPete93	5
139	Inchef	5
139	GreedyFern8581	5
139	Skylord_Luke	5
139	Nycteus_	5
139	Spenduh	5
139	diggydog67	5
147	MinttyFressh	4
147	Secret_Canary	4
147	Arceus1975	4
147	HAIRYCLOUD626	4
147	F_Uhre	4
147	DarkS0L	4
147	DarlaMeow	4
147	Vorlice	4
147	Kowcio_	4
156	Frozil20	3
156	lillips	3
156	AstreaTSS	3
156	Racengan	3
156	Segotep999	3
161	j5ylim	2
161	Travasaur	2
161	PhantomsGhost_	2
161	Ev0luti0nz	2
161	Myszoaz	2
161	Touched_Bread	2
161	Akoot_	2
161	yulgur1	2
161	Lunkuku	2
161	LazySupport00	2
161	Hisiste	2
161	SammiWolfGirl	2
161	NATE_the_HALO	2
161	TinyTheMelon	2
175	fanofbands101	1
175	shineh10	1
175	EMC_	1
175	Killercatty78	1
175	Humpcat	1
175	CoffeeNoir	1
175	Historical_Sand	1
175	eclipseboi	1
175	fade_emerge78823	1
175	CaptainBadKid	1
175	pumpfonzo	1
175	Krowuss	1
175	ApophisNova	1
175	Maenara	1
175	GooseWithin	1
175	masskedman	1
175	SingedBread	1
175	monky_irl	1
175	Eon_57	1
175	hdtpm	1
175	pixelviolin	1
175	CACTUSLAD	1
175	MineMaster0012	1
175	Luigipunch989	1
175	Sheldor097	1
175	tartanboy	1
175	MyNamaSheff	1
175	jnp_gaming	1
175	xolstoi	1
