rank	username	minecraft:mined/minecraft:blue_carpet
1	Xclax101	2173
2	beeperbeeper5	805
3	joethahobo	741
4	MattieHD	726
5	Swexti	238
6	Njensen7	197
7	h2p_emrld	155
8	Jackattack53	147
9	luseis	141
10	bloodbiter	135
11	Lez_	127
12	Mahoose	126
13	YungMaki	120
13	AdmiralSmoke	120
15	HellsSponge	115
16	fw3xy74	109
17	bruh072	98
18	PlasticOtari	96
19	500am	91
20	cedric72	74
21	Ezekson	69
22	Soplight	67
23	Snowflowe	62
24	MoistMicrowave	56
25	Legendosh	49
26	Mr_Worthless	48
27	Meatlaugh	47
27	BumbleBeever	47
29	xxPipperDipperxx	45
29	jcool7	45
31	TheShyPig	41
32	Rumpletaezer	38
33	eitanzaki	33
33	jnp_gaming	33
35	CattSoup	32
35	Zoeyfortnite	32
37	kekhon	31
37	Skippeh	31
39	impossibleteapot	30
40	MinuteMira	29
41	KarlKaek	28
41	Segotep999	28
41	Kubeusz2010	28
44	Merv__	26
45	mwrty	25
45	noam464	25
45	_Karmaa	25
45	Spacewardharpy7	25
49	NieToksikpl	24
50	ConnorDanky_	22
51	The_Fulgurator	21
52	cichy096	20
53	pappaberg	19
54	CaptainBadKid	18
55	Dakar_	17
55	cringenaynaybaby	17
57	Smashic	16
57	Di_infiri	16
59	TechnoNinja64	15
60	rarrq	14
61	buss081	13
61	MrExplorer	13
61	Kowcio_	13
64	PaperCanvas	12
64	EveryonesUncle	12
66	Dali1465	11
67	MethylRadical	10
67	wezzzi	10
67	Lunkuku	10
67	SSytex_X	10
71	SmashingPump	9
71	Trixididntdie	9
71	FreakGenius	9
71	pixelviolin	9
71	xolstoi	9
76	RebelAndroid	8
76	Kubelz	8
76	Drewen24	8
76	lcvezra	8
80	Wooptey	7
80	Crowman1	7
80	Bazongoman	7
80	xzvu	7
80	Jimb0nat0r	7
85	Bandito_Roamer	6
85	Huwulling	6
85	fullyrawfuzz	6
85	oscminus	6
85	claivin	6
90	SquadMonster	5
90	Diavri	5
90	Jimi7hits	5
90	NomadicRobin_	5
90	LexMakesHistory	5
90	Manaateee	5
90	Aezekial	5
90	UCP_TheKingK	5
98	Mr_Byzantine	4
98	PazinGaming	4
98	Alteriity	4
98	ShedJr_	4
98	Scathra	4
98	thescout7	4
98	DarlaMeow	4
98	Blu3beast	4
98	__tomato	4
98	Steelynan	4
108	Sparky_KT	3
108	Blackberry1310	3
108	SteveCraftBlocks	3
108	Laykon	3
108	r123moore	3
108	Covalents	3
108	Mattesco	3
108	Akoot_	3
108	Nycteus_	3
108	Blaiku	3
108	Kijiki	3
108	tsitrawhy	3
108	_i_ERROR_i_	3
108	Sheldor097	3
108	KingMatthew506	3
123	k_ce	2
123	ImpavidArcher	2
123	IWorkAtIkea	2
123	RobotMinion101	2
123	LeonelSalamanca	2
123	Hermanni__	2
123	Dr0xzy	2
123	xorompole	2
123	Yahrto	2
132	pintsizedrogue	1
132	ItsColin11	1
132	ECstardust	1
132	EMC_	1
132	Volttower	1
132	Flores991	1
132	ZaneABrain	1
132	Vizzoid	1
132	titanlax	1
132	TheSecondLord	1
132	Z3braYTIL	1
132	Kazekage	1
132	NotKaden_	1
132	Touched_Bread	1
132	benediktine1	1
132	M_Patata	1
132	prizm_	1
132	ZeroAbyssTTV	1
132	Ecplosive	1
132	Winklepicker279	1
132	fr_ser	1
132	jedi_george	1
132	Arceus1975	1
132	Hyp3rion_	1
132	GreedyFern8581	1
132	_Boipl_	1
132	Krowuss	1
132	ApophisNova	1
132	k1ngGilgamesh	1
132	_8686m_	1
132	420BreadLizard	1
132	Inbefour	1
132	Syropatathe	1
132	The_slideV3	1
132	Danielmoe	1
132	MovingFish7	1
132	MasterNueve	1
132	aidanwest	1
132	jewishnoselong	1
132	layabout100	1
132	MineMaster0012	1
132	Spenduh	1
132	LagMass	1
132	TinyTheMelon	1
132	MyNamaSheff	1
132	Sral7	1
