rank	username	minecraft:mined/minecraft:light_gray_stained_glass_pane
1	Winklepicker279	687
2	Legendosh	552
3	ImpavidArcher	282
4	PlasticOtari	131
5	xolstoi	113
6	ECstardust	102
7	Marbz_	94
8	Lord_Jord	93
9	Hermanni__	85
10	500am	84
11	M_Patata	56
11	Eraxa	56
13	Mahoose	52
14	Hpdinosaur	45
15	Frozil20	43
16	TheShyPig	40
17	Groundler	39
18	Merv__	38
18	Jackattack53	38
20	beeperbeeper5	36
21	pintsizedrogue	35
22	joethahobo	34
23	Blackberry1310	29
24	Historical_Sand	24
24	Rebytre	24
26	Quotary	22
27	lcvezra	21
28	Optiprimus	19
29	luseis	18
30	groofles	17
30	MasterNueve	17
32	MonitorLizards	16
33	EMC_	15
33	kekhon	15
35	Cowison	14
35	lillips	14
35	SammiWolfGirl	14
38	Zoeyfortnite	13
39	titanlax	11
39	jacxhadow	11
39	SteveCraftBlocks	11
39	jnp_gaming	11
43	Mattesco	10
44	Donutt	9
44	epiksk8erduck	9
44	MangoSalad316	9
44	pixelviolin	9
44	Soplight	9
44	Skippeh	9
50	m_be9	8
50	Dragonfest	8
50	noam464	8
50	cedric72	8
54	Huwulling	7
54	oscminus	7
54	claivin	7
54	ConnorDanky_	7
58	halfwayup	6
58	IamCL4SSY	6
58	The_Quack_Dealer	6
61	stellarjay	5
62	KarlKaek	4
62	Smashic	4
62	thescout7	4
62	tyraxxx	4
62	SpacesickPrism	4
62	alderban107	4
68	livingdaydreams	3
68	Inchef	3
68	yheece	3
68	Werbe	3
68	Truckoss	3
68	F_Uhre	3
68	Awesomely_SYD	3
68	Hisiste	3
68	Spacewardharpy7	3
68	jcool7	3
68	TechnoNinja64	3
79	Alteriity	2
79	CaracolCxnt	2
79	Fullut	2
79	Di_infiri	2
79	wTXop	2
79	AlexxO_o	2
79	bearlystraight	2
79	LeonelSalamanca	2
79	MAns_44	2
79	carbo_bro	2
79	Balthie	2
79	tartanboy	2
79	RoboTramp7865	2
79	do_the_disco	2
79	trexgb	2
79	AdmiralSmoke	2
95	KonkFine	1
95	l_ducky_l	1
95	eitanzaki	1
95	T045RTY	1
95	LionelHutzESQ	1
95	IWorkAtIkea	1
95	Stright_	1
95	Malorn_Aetherius	1
95	ZigzagLily43042	1
95	TheSecondLord	1
95	Minecraftmad687	1
95	Arceus1975	1
95	Felenov	1
95	Luminad3	1
95	GooseWithin	1
95	Racengan	1
95	lordpipe	1
95	MakeHistory157	1
95	UCP_TheKingK	1
95	__tomato	1
95	Ezekson	1
95	Mr_Teddiursa_K	1
95	Enderxz3	1
95	561cool	1
