rank	username	minecraft:mined/minecraft:stone_stairs
1	m_be9	1234
2	Historical_Sand	777
3	EveryonesUncle	645
4	Onennon	517
5	pintsizedrogue	509
6	Winklepicker279	508
7	burbankbuilder28	481
8	Maenara	480
9	Mahoose	465
10	Freak_Genius	463
11	PigDab	371
12	cedric72	370
13	Di_infiri	329
14	ImpavidArcher	299
15	_stets	284
16	Racengan	283
17	CoffeeNoir	237
18	PlasticOtari	236
19	Snowflowe	233
20	fkGrim	218
21	beeperbeeper5	210
22	Smoke____	170
23	TheSecondLord	166
24	Meatlaugh	165
25	NameGenerat0r	155
26	joethahobo	150
27	Chromary	142
28	eviltunix	141
29	Soplight	140
30	Fullut	136
31	EcksDofficial	121
32	YungJakobo	120
33	ssleepless	114
34	500am	111
34	Deathkob	111
36	SuperPooch06	107
36	Spacewardharpy7	107
38	Nycteus_	106
38	Ezekson	106
40	Lord_Jord	105
41	Legendosh	101
42	TheShyPig	99
43	Enderslayerxz3	97
44	sebastiensaborio	96
45	abramgray	93
46	Kowcio_	87
47	ShedJr_	85
47	Kubeusz2010	85
49	EMC_	84
49	Ssor69	84
51	WyngGoy	81
52	Sky_light_KING	79
53	Blackberry1310	73
54	Cryptacity	70
54	BlankityMcBlank	70
56	Skylord_Luke	67
57	Hyp3rion_	66
58	rarrq	63
59	PuFY	61
60	cog	60
61	Merv__	59
61	2blox	59
63	ExtraDumb	57
63	TheOnlyRake	57
65	theonlymagikarp	56
66	Inchef	54
67	_Karmaa	53
67	lordpipe	53
69	soundad	52
69	Shiirazuku	52
71	MangoTheFish	51
72	Hanselhoof	47
72	jnp_gaming	47
74	RatatJuice	45
75	Dusk_95	44
75	ElectricDragon81	44
77	T045RTY	42
77	XxCookiequeenxX	42
77	Blu3beast	42
80	Notta	41
80	Rumpletaezer	41
82	MyNameIsDakar	40
83	pappaberg	39
84	Natofthese	38
84	Hisiste	38
86	RedcatVII	37
87	BlueZabu	36
87	DemTechAlpha	36
87	Eraxa	36
87	TechnoNinja64	36
91	Dedalus36	35
91	Zythose	35
93	thescout7	34
93	El_Jalapeno	34
93	07shiny	34
96	masskedman	33
97	_Bguette_	32
98	Wooptey	31
98	Malorn_Aetherius	31
98	Aangezet	31
101	ProbablyNick	30
101	YungMaki	30
103	BronkerBrum	29
103	ApophisNova	29
103	MyNamaSheff	29
106	Werbe	28
106	Inbefour	28
106	AssEatrAndLicker	28
106	radioactv_jelly	28
110	Vorlice	27
111	titanlax	25
111	gcaisawesome	25
111	NoxxxxiS	25
111	M_Patata	25
111	DTwenty	25
111	Jiminie	25
111	EcksD	25
111	little_dUki	25
111	AltnumberF4	25
120	hollowww	24
120	Eczbek	24
120	tartanboy	24
123	The_slideV3	23
123	layabout100	23
125	BobDeBouwer1337	22
125	lcvezra	22
127	Sabby65	21
127	MyNameIsJobo	21
129	Bandito_Roamer	20
129	Kubelz	20
129	Freeman666	20
132	kekhon	19
132	Mewar	19
