rank	username	minecraft:mined/minecraft:blue_shulker_box
1	Snowflowe	2174
2	Skippeh	964
3	Soplight	764
4	Blaiku	713
5	kekhon	704
6	12Magner05	696
7	vandmanden	648
8	HellsSponge	588
9	thescout7	489
10	pintsizedrogue	434
11	jcool7	325
12	Jovaphobic	311
13	EveryonesUncle	299
14	Ezekson	297
15	Shogunite	292
16	TheShyPig	274
17	Blackberry1310	272
18	YungMaki	266
19	claivin	261
20	Enderslayerxz3	257
21	Spenduh	249
22	pixelviolin	238
23	lordpipe	234
23	Kyrum2169	234
25	Zythose	230
26	Hyp3rion_	219
27	PlasticOtari	211
28	_Virify_	201
29	Di_infiri	197
30	Spacewardharpy7	192
31	MustaLoordi	181
32	fr_ser	180
33	Groundler	170
34	fred870d	169
35	DarlaMeow	167
36	oxfordschool	166
36	Powowowow	166
38	Megarboh	164
39	set67	163
39	thewindmillman	163
41	TheDankPlatypus	161
42	joethahobo	149
43	beeperbeeper5	145
44	Frozil12	135
45	MyNameIsJobo	132
46	__tomato	129
47	fluddd	127
48	DemTechAlpha	121
49	Awyrlas	116
50	fade_emerge78823	108
50	Deathkob	108
52	Bumpy419	107
53	little_dUki	105
54	Steelynan	104
55	KarlKaek	102
55	rarrq	102
57	diggydog67	98
58	WyngGoy	95
59	Xovalt_	92
60	egglapras	88
61	Jackster03	87
61	1442	87
63	PhantomsGhost_	86
64	T045RTY	84
65	Werbe	82
66	noam464	80
67	Xclax101	78
67	Warlord324	78
69	ImpavidArcher	77
69	mwrty	77
71	Legendosh	75
72	gcaisawesome	74
72	Winklepicker279	74
74	TheSecondLord	73
75	wezzzi	72
75	TheSeismicDuck	72
77	Lord_Jord	71
77	TechnoNinja64	71
79	500am	69
79	Ecplosive	69
79	Fuhrer_Teemo	69
82	teslawolf38	68
83	Froste131	67
84	Z3braYTIL	66
84	Kubeusz2010	66
86	ZeroKraken	65
86	kinas45y5	65
88	jnp_gaming	64
89	camando92	63
90	chipklip	62
90	NameGenerat0r	62
92	DeGodz4life	59
93	eitanzaki	57
93	GlitchyPlate810	57
95	The_Quack_Dealer	55
96	surfinggiraffejp	54
97	r123moore	53
97	Nicserso	53
99	eviltunix	50
99	Blu3beast	50
99	sp00ky_ghost977	50
102	Jackattack53	47
103	NinjaKnifeKill	46
103	brofrickcheaters	46
105	ClemenPine	43
105	Jiminie	43
107	H72l9w	41
107	XboxPanda	41
107	Chromary	41
107	Voxin2K	41
111	Hpdinosaur	40
111	_Nuf	40
111	Fullut	40
111	Eraxa	40
115	ayamefag	39
116	Segotep999	38
116	obzii	38
118	Airem_Core	35
118	SammiWolfGirl	35
120	Myszoaz	33
120	_8man	33
120	07shiny	33
123	soundad	32
123	ogoa	32
123	Quincannon	32
126	Merv__	31
126	mariominejedi	31
126	Hiryu27	31
126	Th6masss	31
130	Lukeee33	28
130	Steven1282598	28
130	tsitrawhy	28
133	jushykins	27
133	lillips	27
133	Fizznut909	27
133	fffMike	27
137	JEWISHBadenBeele	26
137	Freak_Genius	26
139	ApophisNova	25
139	The_slideV3	25
139	OG_Songsee	25
139	MyNamaSheff	25
143	redikul	24
143	cedric72	24
143	Dreamdbr14	24
146	nataliecool	23
146	YungJakobo	23
148	SaucyDark	22
148	titanlax	22
148	Syropatathe	22
151	Rich_Kat	21
151	sammidk	21
151	Hisiste	21
154	prizm_	20
154	MakeHistory157	20
154	Optiprimus	20
154	Juh1s	20
158	the__Reaper4999	19
158	Njensen7	19
160	emrekn	18
160	LeGold	18
160	LexMakesHistory	18
160	yatsuta	18
164	ssleepless	17
164	Historical_Sand	17
164	masskedman	17
164	Lutres_Torane	17
168	Ailmast	16
168	MinttyFressh	16
168	SeverianTheLame	16
168	Akoot_	16
168	audiocracked	16
168	Razzgriz	16
174	bpmm	15
174	RoBe__	15
176	MixerDixer	14
176	MSK__	14
176	Smashic	14
179	SteveCraftBlocks	13
179	Inchef	13
179	_Karmaa	13
179	KingMatthew506	13
183	TAKrules	12
183	Xalithia	12
183	GravitySaint	12
183	lcvezra	12
187	Incinere	11
187	Covalents	11
187	Marbz_	11
187	PigDab	11
187	NomadicRobin_	11
187	Quaintster	11
187	MAns_44	11
194	ProfessorBee	10
194	El_Jalapeno	10
196	_Dean_123	9
196	xxPipperDipperxx	9
196	Rumpletaezer	9
196	ProfessorDiaper	9
196	ElKaySVK	9
201	EMC_	8
201	Euclidoris	8
201	zorin123	8
201	Rebytre	8
201	FishyBoy3811	8
