rank	username	minecraft:mined/minecraft:gray_glazed_terracotta
1	titanlax	220
2	Onennon	148
3	PlasticOtari	119
4	kekhon	78
5	lillips	71
6	Tommhh	69
7	rarrq	66
8	Steelynan	64
8	Hermanni__	64
10	Hiryu27	54
11	thescout7	53
12	noam464	50
13	Dan_Scha	48
14	eitanzaki	45
15	500am	43
16	ImpavidArcher	32
17	YungMaki	31
18	Soplight	28
19	Ezekson	19
20	_Virify_	18
21	Inbefour	16
21	Frozil12	16
23	Mahoose	13
24	Akoot_	11
25	TheShyPig	8
26	Smoke____	7
27	PhantomsGhost_	6
28	ooga47	4
28	Lutres_Torane	4
28	Spacewardharpy7	4
31	HellsSponge	3
31	NameGenerat0r	3
31	oxfordschool	3
34	Blackberry1310	2
34	sp00ky_ghost977	2
36	Merv__	1
36	Di_infiri	1
