rank	username	minecraft:mined/minecraft:waxed_weathered_cut_copper_stairs
1	Marbz_	11
2	Mr_Byzantine	5
3	luseis	4
3	SpacesickPrism	4
5	Buuck_	3
5	Enderxz3	3
7	skroobiez	2
7	beeperbeeper5	2
7	Manaateee	2
10	MattieHD	1
