rank	username	minecraft:mined/minecraft:big_dripleaf_stem
1	12Magner05	192
2	pintsizedrogue	53
3	PlasticOtari	50
4	thewindmillman	30
5	Enderslayerxz3	26
6	_Boipl_	17
7	500am	14
8	Mahoose	11
9	chrolus	9
9	pixelviolin	9
11	Smoke____	7
12	Ryker	6
13	eitanzaki	5
14	lillips	4
15	EMC_	3
15	beeperbeeper5	3
15	gcaisawesome	3
15	Klerick	3
15	AuroraSkies	3
15	lordpipe	3
15	Steelynan	3
22	BINKENSTOCK	2
22	Spacewardharpy7	2
22	Hylo482y	2
25	_Razar	1
25	Smashic	1
25	Rebytre	1
25	AlexxO_o	1
25	Dan_Scha	1
25	Jiminie	1
25	MAns_44	1
25	Human_Resource	1
25	sp00ky_ghost977	1
25	SvenskaHugo	1
25	TheALV	1
25	Miko_Fullbuster	1
25	Legendosh	1
25	CrazyPotater	1
