rank	username	minecraft:mined/minecraft:bamboo_stairs
1	Synthoum	96
2	Mr_Sun15	28
3	Mr_Froxy	27
4	CacheOut	26
5	Mr_Byzantine	25
6	pintsizedrogue	24
7	FiguraDei	19
8	Mattesco	17
9	_witch_craft_	16
10	Bambuino	12
11	kalzor	11
11	Buuck_	11
13	Merv__	8
14	Fullbit_	7
14	Hoid_the_Roamer	7
16	Lez_	6
17	Spaghettatron	5
18	Napoleonpancake	4
18	akap47	4
18	Werbe	4
18	Jimb0nat0r	4
22	Niklas20114552	2
22	DisgruntledKoala	2
24	gren_ben	1
24	cyuar	1
24	TheSecondLord	1
24	lpinfinity	1
24	gamerlord1324	1
24	noam464	1
24	bl1ss0	1
24	craaaash	1
24	Jackattack53	1
24	BTL_craft	1
24	lordpipe	1
24	SvenskaHugo	1
