rank	username	minecraft:mined/minecraft:lectern
1	Alteriity	10555
2	HellsSponge	5390
3	MightyWertu	2572
4	Historical_Sand	1492
5	Lord_Jord	1431
6	Hisiste	1349
7	Freak_Genius	1228
8	thescout7	1169
9	gcaisawesome	1123
10	pixelviolin	1033
11	AuroraSkies	984
12	beeperbeeper5	927
12	Jiminie	927
14	The_slideV3	916
15	Blaiku	900
16	joethahobo	822
17	noam464	805
18	eitanzaki	803
19	pintsizedrogue	787
20	Hyp3rion_	781
21	YungMaki	771
22	Arceus1975	769
23	PigDab	707
24	EMC_	697
25	chipklip	687
26	MinttyFressh	652
27	youhjjhhhjj	629
28	EveryonesUncle	577
29	Comma__	558
30	Soplight	502
31	Racengan	482
32	Di_infiri	470
33	livingdaydreams	459
34	DanTheBuilderino	454
35	Marbz_	409
36	500am	402
37	Skippeh	381
38	fffMike	375
39	Smoke____	314
40	Nycteus_	312
41	Xalithia	304
42	KG1999	303
43	Solar_Power	299
44	Drlzyy	297
45	Groundler	281
46	ZeroKraken	272
47	T045RTY	259
47	WYFYoyo	259
49	LeeMcGee30	238
50	BumbleBeever	230
51	Ryker	220
52	kekhon	209
53	Fizznut909	208
53	Sral7	208
55	set67	205
56	TheTrueClipse	188
57	HoltGrim	187
58	Dan_Scha	185
59	mwrty	181
60	Spacewardharpy7	177
61	jacxhadow	176
62	fkGrim	163
63	TechnoNinja64	158
64	Rumpletaezer	157
65	Luigipunch989	149
66	diggydog67	141
67	diamondgolem35	139
68	TheEnderman548	133
69	The_SlideV5	131
70	NotMeanttoChange	118
71	XboxPanda	114
72	Werbe	108
72	LazySupport00	108
74	PegLegPete93	104
74	Kowcio_	104
76	Fast_Turtle	103
77	JayToe	97
78	TheShyPig	96
78	ProfessorDiaper	96
80	ApophisNova	93
80	MyNamaSheff	93
82	RebelAndroid	92
83	Cowison	91
84	Sky_light_KING	90
85	EfficientC52	89
86	FishisTTV	88
87	Mahoose	87
87	claivin	87
89	TheDankPlatypus	86
90	RodSerlingCringe	84
91	mawileite	82
92	Yatitay	81
93	TheALV	75
94	mariominejedi	74
95	PlasticOtari	71
96	Kubeusz2010	68
97	301851	66
98	SellyZ	64
99	Vizzoid	63
100	MattieHD	62
101	oxfordschool	60
102	Frxnkz	59
103	obzii	57
104	Legendosh	55
105	2blox	53
106	Promsiel	52
107	TheSecondLord	51
107	Awyrlas	51
109	Bumpy419	48
110	CoffeeNoir	46
111	ivorico	45
111	xo_Marren_xo	45
111	sp00ky_ghost977	45
111	Ezekson	45
115	Blu3beast	43
116	Fullut	42
116	Motsaro	42
116	AlexxO_o	42
119	FreddyFart	39
120	andy_rex	36
121	MunkaKris	35
122	Lez_	33
122	Zaridey	33
124	ProfessorBee	32
125	EcksDofficial	30
126	ROY4LE	29
126	Bolete	29
128	NYJ	28
128	Soul_Atreus	28
128	_AAZAR	28
131	FishyBoy3811	26
132	Hiryu27	23
132	ClemenPine	23
132	Frozil12	23
132	csendeslol	23
136	FujiBS	22
136	Guillemet	22
138	lillips	21
139	Harotio	20
139	Blackberry1310	20
139	thewindmillman	20
139	Snowflowe	20
139	burbankbuilder28	20
144	Hyugo	19
144	fluddd	19
146	Dedalus36	18
146	CharlieButt	18
146	pappaberg	18
149	Maenara	17
149	djancak	17
151	ImpavidArcher	16
151	emrekn	16
151	lordpipe	16
151	Steelynan	16
155	Merv__	15
155	Smashic	15
157	TooManyDuck	13
157	_Dean_123	13
157	theonlymagikarp	13
157	jcool7	13
161	loveseeker	12
161	ItzWqlfy	12
161	SvenskaHugo	12
164	eiC_	11
164	JESS_THE_RERE	11
164	_Karmaa	11
164	El_Jalapeno	11
164	jnp_gaming	11
169	6king6colt6	10
169	SteveCraftBlocks	10
169	Inbefour	10
172	numbra	9
172	H72l9w	9
172	rarrq	9
172	Inchef	9
172	Zorin_Blitz	9
172	jewbacaman	9
172	Factoroni	9
172	minekou	9
172	Ze_BaronKrigler	9
172	BreadBacon	9
182	Groovy_MoonBird	8
182	Bandito_Roamer	8
182	AuroraValkyrie	8
182	GravitySaint	8
182	JoCoLi	8
182	Warlord324	8
182	PortlyPete69	8
182	DennyKai	8
190	Hpdinosaur	7
190	ShedJr_	7
190	xxPipperDipperxx	7
190	Onennon	7
190	masskedman	7
190	Xclax101	7
