rank	username	minecraft:mined/minecraft:dead_horn_coral_wall_fan
1	noam464	50
2	Spacewardharpy7	13
3	Jackattack53	10
4	HellsSponge	9
5	non089	8
6	eitanzaki	4
6	noodlepack	4
6	MilleGrug	4
9	j5ylim	3
9	xPixelRainx	3
9	Hyp3rion_	3
9	Rebytre	3
9	ApophisNova	3
9	Onennon	3
9	MyNamaSheff	3
16	SmashingPump	2
16	Mahoose	2
16	oscminus	2
19	ImpavidArcher	1
19	Arceus1975	1
19	PigDab	1
19	AlexxO_o	1
19	FreddyFart	1
19	FreakGenius	1
19	Factoroni	1
19	WyngGoy	1
19	Kowcio_	1
19	HesDemonPants	1
19	AdmiralSmoke	1
