rank	username	minecraft:mined/minecraft:bamboo
1	calamariclam_I	7149
2	Hyp3rion_	6827
3	EveryonesUncle	5678
4	Mahoose	5314
5	Frozil20	5034
6	LexMakesHistory	4689
7	Yamdalorian	4155
8	Werbe	4020
9	Mr_Byzantine	3457
10	Lutres_	3306
11	Di_infiri	2913
12	Invisie	2820
13	Fullut	2368
14	TheWildMateo	2122
15	TheShyPig	2012
16	drunkeeez	1978
17	ConnorDanky_	1949
18	non089	1880
19	akap47	1844
20	ImpavidArcher	1738
21	k_ce	1711
22	PhantomsGhost_	1707
23	HellsSponge	1599
24	abdomera	1567
25	Hiryu27	1497
26	noam464	1427
27	Nicserso	1393
28	eitanzaki	1337
29	Synthoum	1300
30	legal_tax_evader	1267
31	smogfrog	1238
32	Prodiginus	1224
33	Legendosh	1153
34	beeperbeeper5	1136
35	Jackattack53	1120
36	Windo_licker	1116
37	EngagedGrub41	1093
38	Sheldor097	1091
39	Moetis	1056
40	MrExplorer	1044
41	BlancoFlaco	1034
42	PlasticOtari	994
43	MakeHistory157	982
44	pretty_pink_reno	975
45	thgrocks	951
46	SuperPooch06	849
47	m_be9	846
48	SammiWolfGirl	817
49	Darkgon	789
50	SexcMf	765
51	LordBlaze11	749
52	thewindmillman	747
53	Fullbit_	735
54	YungMaki	734
55	Thaumatarge	730
56	eviltunix	726
57	benediktine1	716
58	cedric72	713
59	Deathkob	708
60	Blackberry1310	705
61	Arceus1975	674
62	djancak	665
63	Jimi7hits	664
64	SlayerCrypto	659
65	Mr_Froxy	643
66	pintsizedrogue	640
67	H0UNDFRMH3LL	629
67	T045RTY	629
69	Dreamdbr14	616
70	Steelynan	606
71	WyngGoy	583
72	kekhon	579
73	guiltybastard	573
74	hanaryheatwave	563
75	Zythose	552
75	Jimb0nat0r	552
77	mariominejedi	544
78	UncreativeArtist	515
79	Bumpy419	505
80	joethahobo	500
81	jewishnoselong	499
82	_darky1_	494
82	pixelviolin	494
84	ROY4LE	493
85	Silvo614	487
86	Spacewardharpy7	485
87	Kakolbus	483
87	Fuad_R	483
89	lordpipe	452
90	Bandito_Roamer	433
91	Touched_Bread	420
92	Gregward_Smith	419
93	coobert42	416
94	Fakiuss	408
95	KarlKaek	403
96	TheDankPlatypus	390
96	Kura2218	390
98	MovingFish7	384
99	IamCL4SSY	383
100	KingFaenor	381
101	ItsAki_	379
102	Airem_Core	378
103	El_Jalapeno	377
104	titanlax	375
105	diggydog67	371
106	Skylord_Luke	370
107	stellarjay	367
108	AngalexikCZ	353
109	Hpdinosaur	352
110	Jackster03	345
111	QueenOfDirt	336
112	RatatJuice	332
113	Blaiku	330
113	Juh1s	330
115	Luigipunch989	328
116	FreakGenius	325
117	xxPipperDipperxx	313
118	CoffeeNoir	312
119	Eraxa	306
120	luseis	300
121	Burge_r	298
122	MoistMicrowave	293
123	chrolus	292
123	Blu3beast	292
125	Groovy_MoonBird	291
126	Thunder_bird4337	289
127	CaptainAvenger7	287
128	bloodbiter	284
129	rotten_mango	282
130	crying_wolf_13	275
131	NotMeanttoChange	272
132	Manaateee	271
132	Warlord324	271
134	xzvu	269
135	Ezekson	268
136	_Meow_Mix	261
136	Skippeh	261
138	NebulousBadger	256
139	DASH_X7	255
140	Malorn_Aetherius	254
141	Lord_Jord	251
142	Onennon	250
142	33sudo	250
144	ShedJr_	242
145	Pumpkin_P_Patch	239
146	Da_Boss_Rani	233
146	trexgb	233
148	NATE_the_HALO	232
149	impossibleteapot	228
150	mwrty	224
151	mawileite	220
152	PegLegPete93	214
152	Kowcio_	214
154	SaucyDark	213
155	00000000-0000-0000-0009-01ff0c3e5e4f	210
156	kalzor	208
157	Yahrto	204
158	Studyhallsaver	203
159	masskedman	201
160	Tiktola01	199
160	TheSandwhich_	199
162	RebelAndroid	198
162	Kamflame	198
162	Kubelz	198
165	ZaneABrain	192
165	Mr_Sun15	192
167	Nyxiom_	191
168	TheSecondLord	189
169	Euclidoris	188
169	ehunt54	188
171	StinkyDiplomat	187
172	Soap_Bender	185
173	actuallysadie	184
173	HoltGrim	184
173	Dakar_	184
176	ori0le	183
177	Spenduh	180
177	TechnoNinja64	180
179	thescout7	178
180	fkGrim	177
180	Leeeegend	177
182	EcksD	176
183	Freedrik	175
184	Enderxz3	173
185	NameGenerat0r	172
186	Inbefour	169
187	StarCookiees_	165
188	weabis	164
189	RadarHz	163
190	Notta	162
191	6king6colt6	153
191	vandmanden	153
193	valiSW	152
194	_stets	150
195	F_Uhre	146
196	Winklepicker279	145
196	RebytreGT	145
198	dopplexd	140
198	DTwenty	140
200	Drewen24	139
201	Quotary	137
202	excelsionprime	136
203	gcaisawesome	135
204	starbits140	133
205	Juk3b0x	132
206	Zenlou	131
206	Akoot_	131
206	be3ry__	131
209	Useless_Relic	130
209	Barlycorn	130
211	prizm_	128
212	heckface	126
212	HAIRYCLOUD626	126
212	Mistruth	126
212	Kubeusz2010	126
216	annebolyn	125
217	DarlaMeow	124
218	0nly_sn1per	123
219	Njensen7	122
220	TheALV	121
221	msJabberwock	120
222	Whiterooster001	119
222	CrookedKaptain	119
222	Bloo2406	119
225	Louiis123	118
225	TheWickedBird	118
227	MightyWertu	117
228	Hydro___________	114
229	QuesoCrusaderIII	113
230	MS_Pryxx	112
231	12Magner05	111
231	eiC_	111
233	Merv__	110
233	lotarp	110
233	IWorkAtIkea	110
233	Megarboh	110
233	Soul_Atreus	110
238	Elastiq	109
239	dudcreeper	108
240	powercas_gamer	107
241	Sparky_KT	106
241	ooga47	106
241	PaperCanvas	106
241	Toiton	106
245	AstreaTSS	105
246	moist_jellyfish	104
246	True_Clipse	104
248	RobotMinion101	103
249	Mattesco	102
249	_i_ERROR_i_	102
251	Lez_	101
251	Drawgirl	101
253	Xalithia	100
254	PortlyPete69	99
254	Wolverine4302	99
256	PigDab	98
256	MilleGrug	98
256	WildTamara	98
259	MOSS000	96
259	Candad_	96
261	lorywithay	95
261	KingMatthew506	95
263	Alteriity	91
263	godipose	91
265	EMC_	90
265	_Cloverbelle_	90
265	markaus77	90
268	Ryan_GEMS	89
268	_vlex	89
268	Quincannon	89
271	SirPiccardo	88
272	Bucscw24	87
272	Racengan	87
274	Cats_Fly	85
275	Azorathum	83
276	Dogcorn69420	82
277	oscminus	81
277	Wouttke	81
277	Soplight	81
280	jushykins	79
280	claivin	79
280	Deerfoot	79
280	MAns_44	79
284	rarrq	78
284	MonitorLizards	78
284	Fuhrer_Teemo	78
284	IdeallyGrey	78
288	mountaingirl311	77
289	zToasty69z	75
289	CalebDHawk	75
291	AspenLightVT	74
291	Tyrannosplart	74
291	Pickel_Lord	74
294	Ryker	73
294	MattieHD	73
294	MissCeleste7	73
294	h2p_emrld	73
298	John_Acacia	72
298	DanTheBuilderino	72
298	jnp_gaming	72
