rank	username	minecraft:mined/minecraft:verdant_froglight
1	hanaryheatwave	956
2	Lez_	298
3	Hyp3rion_	236
4	pintsizedrogue	212
5	RoskobiOne	98
6	luseis	84
7	Enderxz3	67
8	joethahobo	66
9	CattSoup	65
10	ImpavidArcher	53
11	Manaateee	48
12	Jackattack53	42
13	AlexxO_o	41
14	Kowcio_	38
14	AdmiralSmoke	38
16	thewindmillman	27
17	lordpipe	24
18	TheSecondLord	21
19	Jimb0nat0r	20
20	FishisTTV	19
21	Mr_Sun15	18
22	q_wq	17
23	pixelviolin	9
24	Crowman1	8
25	k_ce	7
25	imcombxt	7
25	weabis	7
28	jessewegottacook	3
28	bearlystraight	3
28	UCP_TheKingK	3
28	Segotep999	3
32	Alteriity	2
32	12Magner05	2
32	Marbz_	2
32	MineMaster0012	2
36	teslawolf38	1
36	Huwulling	1
36	rarrq	1
36	MEMES4_LIFE	1
36	Mattesco	1
36	Fuad_R	1
36	wwwwinnebagoooo	1
36	ZoomieZoomie	1
