rank	username	minecraft:mined/minecraft:short_grass
1	Yamdalorian	18033
2	beeperbeeper5	17964
3	SpacesickPrism	15825
4	oscminus	11532
5	Skylord_Luke	11120
6	Enderxz3	10958
7	Spaghettatron	10574
8	pintsizedrogue	10536
9	EveryonesUncle	8551
10	EMC_	8493
11	Blackberry1310	8099
12	Lez_	7323
13	Arceus1975	6865
14	joethahobo	6566
15	Merv__	6224
16	lordpipe	5532
17	TheWickedBird	5476
18	luseis	5394
19	Mr_Byzantine	5351
20	Alteriity	5345
21	Legendosh	5312
22	Kowcio_	5287
23	Steelynan	5073
24	thewindmillman	4895
25	CacheOut	4671
26	Kakolbus	4150
27	philandr	4099
28	500am	3974
29	Spacewardharpy7	3931
30	Ezekson	3914
31	lorywithay	3836
32	noam464	3623
33	corvidpartyfor6	3479
34	hanaryheatwave	3454
35	Jackattack53	3436
36	wwwwinnebagoooo	3414
37	Krowuss	3385
38	PigDab	3348
39	rarrq	3284
40	Blaiku	3282
41	Flex_Tape_Phil	3105
42	Fullut	2956
43	Soplight	2891
44	TheSecondLord	2828
45	12Magner05	2483
46	SvenskaHugo	2246
47	Spenduh	2231
48	_witch_craft_	2184
49	royal_2	2146
50	11Brewer	2077
51	Werbe	2068
52	cutelilreno	2031
53	ECstardust	2019
54	Caribouse	2010
55	Rebytre	1917
56	_Dean_123	1909
57	Groovy_MoonBird	1890
58	Akoot_	1849
59	Fuad_R	1795
60	k_ce	1670
61	Manaateee	1655
62	MAns_44	1594
63	shineh10	1581
64	craaaash	1559
65	PazinGaming	1556
66	Moofyman	1535
67	Gus2005	1465
68	FiguraDei	1450
69	j5ylim	1374
70	Racengan	1322
71	CoffeeNoir	1320
72	U_Mos_	1310
73	TheKingK_	1297
74	Secret_Canary	1265
75	Buuck_	1251
76	Pumpkin_P_Patch	1154
77	Hoid_the_Roamer	1078
78	fw3xy	1064
79	Saucepeh	1026
80	F_Uhre	1013
81	robonya_	1005
82	Jimb0nat0r	991
83	powercas_gamer	924
83	EcksD	924
85	Tersea_	918
86	SolarKar	905
87	MyMawgDonaldsGon	886
88	CalebDHawk	884
89	Alex_Hansen	876
90	NameGenerat0r	872
91	hermmm_	843
92	MisfitsMike	824
93	CLG_Kata	806
94	__tomato	801
95	milltesco	800
96	loydaf124	796
96	Gzrdy	796
98	_3Stump_	785
99	PaperCanvas	731
100	HUNTERmaun	718
101	SaphSaff	705
102	AlexxO_o	699
103	Bambuino	693
104	lcn	692
105	GooseWithin	674
106	Galactic_Badger	652
107	parodypatient	644
107	Skippeh	644
109	Crowman1	626
110	LordZacler	568
110	Lord_Zacler	568
112	theonlymagikarp	560
113	DragonGaming_5	554
114	Mr_Sun15	546
115	MattieHD	520
116	xorompole	497
117	Covalents	496
118	Xclax101	494
119	WinterSepp	466
120	LAVA124	429
121	SvenskaSara	428
122	SOA1RR	407
123	ItsDeltaMC	403
124	00000000-0000-0000-0009-01fe0e2fb0b5	398
125	pixelviolin	396
126	Sophia_Irene	383
127	BPTY4618	344
128	AlphaWolfPlaysMC	338
129	SteveCraftBlocks	329
130	drunkeeez	320
131	catandmoose	306
132	MrShojo	289
133	Reneedium	287
134	Wooptey	286
135	Sorry_Arey07	275
136	hydrothebot	270
137	Dynamic_wolf_1	269
138	lpinfinity	268
139	00000000-0000-0000-0009-01fa5d833510	266
140	thatsjustfrankie	251
141	emreknugrlu	249
142	2Stout	247
143	2blox_	242
